Dataset,method,jaccard 1,jaccard 2
ME13_1,SpaMV,0.149409207,0.312945606
ME13_1,SpaMV (Shared),0.138578749,0.211571127
ME13_1,SpaMV (H3K27ac related),0.190791395,0.167164149
ME13_1,SpaMV (H3K27me3 related),0.114391565,0.34199309
ME13_1,SpaMV,0.144752134,0.33203556
ME13_1,SpaMV (Shared),0.145959531,0.216291851
ME13_1,SpaMV (H3K27ac related),0.192665188,0.176237042
ME13_1,SpaMV (H3K27me3 related),0.117330501,0.355034203
ME13_1,SpaMV,0.14666828,0.325502747
ME13_1,SpaMV (Shared),0.139616449,0.199847124
ME13_1,SpaMV (H3K27ac related),0.190752417,0.162260754
ME13_1,SpaMV (H3K27me3 related),0.116450915,0.351288591
ME13_1,SpaMV,0.147733256,0.324476066
ME13_1,SpaMV (Shared),0.137763611,0.233763937
ME13_1,SpaMV (H3K27ac related),0.18788904,0.183409713
ME13_1,SpaMV (H3K27me3 related),0.116079695,0.350765094
ME13_1,SpaMV,0.148771633,0.31905221
ME13_1,SpaMV (Shared),0.144155849,0.218535899
ME13_1,SpaMV (H3K27ac related),0.199131465,0.175678677
ME13_1,SpaMV (H3K27me3 related),0.115311559,0.347015063
ME13_1,SpaMV,0.150998827,0.324744831
ME13_1,SpaMV (Shared),0.141400246,0.200117885
ME13_1,SpaMV (H3K27ac related),0.197918949,0.169455765
ME13_1,SpaMV (H3K27me3 related),0.118282951,0.350623328
ME13_1,SpaMV,0.151008168,0.332245555
ME13_1,SpaMV (Shared),0.142871844,0.214454172
ME13_1,SpaMV (H3K27ac related),0.196952831,0.176056105
ME13_1,SpaMV (H3K27me3 related),0.118650255,0.356745117
ME13_1,SpaMV,0.14755771,0.323176655
ME13_1,SpaMV (Shared),0.139896451,0.234260951
ME13_1,SpaMV (H3K27ac related),0.19040083,0.187637543
ME13_1,SpaMV (H3K27me3 related),0.117375023,0.347335791
ME13_1,SpaMV,0.154049839,0.328976719
ME13_1,SpaMV (Shared),0.144469278,0.20760267
ME13_1,SpaMV (H3K27ac related),0.202348381,0.171362721
ME13_1,SpaMV (H3K27me3 related),0.117970105,0.356528413
ME13_1,SpaMV,0.155031745,0.326821888
ME13_1,SpaMV (Shared),0.141608819,0.219313883
ME13_1,SpaMV (H3K27ac related),0.199270659,0.176778372
ME13_1,SpaMV (H3K27me3 related),0.118932377,0.357676903
