,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27ac private topic 2,H3K27ac private topic 5
Mapk8ip2,-0.55475605,0.07619083,-0.122268915,-3.4695117,0.7198751,-2.1331742,-2.2495513,-2.5153875,0.8251897,-0.666457,-1.349156,0.059587955,-0.8745103,-4.4191265,0.74722266,-3.7541118,-2.133296,-1.6845036,-0.6633746
4930515B02Rik,-1.97482,-4.561661,-1.2098277,-1.3027629,0.18330604,-1.0795631,1.1337534,-1.2033892,-2.4787428,-0.74059665,-1.0478077,-1.92309,-0.23545584,-0.29327378,-4.5226445,-3.7810142,-0.8573389,-2.2653527,-2.6376207
Nbea,-0.10011694,0.88113034,-0.80766153,0.361964,-0.16405757,-0.8038617,-1.2935317,-0.33322358,0.56823665,-0.14769746,-0.37697387,-0.013454139,-1.0080788,-0.3965369,1.2200681,-0.27986488,-0.18105176,-0.13880685,0.09856361
Zfp664,-0.16442028,-0.8398518,-0.8874102,-0.2877473,-3.9035122,-0.13654535,-1.0039673,-0.2239939,-0.028322592,-0.23557208,-0.54433,-0.22369577,-0.82895607,0.38243908,0.009698033,-0.14314325,-1.1203142,-0.40309477,0.030382544
Vangl1,-0.9768146,0.03609529,-0.76267385,-0.64288163,-3.722455,0.39157933,0.44247514,-0.93753666,-1.5514367,0.451576,-0.6431427,-0.36615214,-0.14490312,-1.0636272,-1.137902,0.2108613,-0.08391933,-0.41859567,-1.0811691
A630095N17Rik,-0.85118973,-4.457488,-0.31068784,-1.0924569,-4.223508,-1.130138,0.7754008,-0.85232615,-0.6120239,-1.1142483,-2.1259892,-0.59204185,0.57784724,-0.58675873,-0.51966196,-2.4657345,0.25412804,-1.3223484,-1.3798666
Mtus2,-1.5195179,-0.21253493,0.46604913,-1.2348154,0.0895834,-0.22972237,-1.3063486,-0.37059656,-0.0004953146,-0.44388425,-0.10785037,-1.3666618,-0.39189184,-0.30394435,0.63258505,-0.4070559,-0.07450305,-0.24569383,-0.28004396
Ypel2,-1.8273793,-0.19693367,0.66870755,-0.51697564,-1.2194259,-0.07024482,-0.9227989,-0.60139245,-2.1746347,-0.26563734,-0.27668455,-0.71486986,0.30498016,1.1630193,-1.6483666,0.06657648,-0.13520548,-0.29890501,-1.1513212
Gapdhs,-0.33345813,0.0035552233,0.038331628,-0.14422302,0.53977937,0.06418814,0.18313804,-0.20298378,0.08065585,-0.36780503,-0.14589036,-0.2278009,0.084736615,-0.095210716,0.16696885,-0.3905082,-0.29948658,-0.2790702,-1.2348416
Myod1,-0.46084633,-4.433008,-0.972596,-1.1999319,1.6754408,0.005289167,-1.6278441,1.0633202,-0.40798432,-3.8374455,-2.5984118,-0.43424433,-0.89095014,-0.41237617,-0.7114755,-0.28132507,0.12898952,-1.8707731,-1.650518
