,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,Shared topic 16,Shared topic 17,Shared topic 18,Shared topic 20,H3K27me3 private topic 1
Mapk8ip2,-2.0651844,-2.5649838,0.5067387,-0.40408415,-0.6014768,-0.06805429,0.006026216,-0.07929739,-1.3560958,-0.11560914,-0.3917285,-0.76037943,-0.3104983,-0.55089647,-1.382668,-1.2335551,-0.085708246,-0.34152585
4930515B02Rik,-3.605844,0.42726266,-0.114317,-1.6073093,-3.2747388,-1.1311224,0.24196826,-0.114454895,-0.67767465,-0.7866608,-1.0662657,-1.1858503,0.48356092,-2.5118222,-1.0528564,-1.7524722,0.21605134,-0.5736249
Nbea,0.14810592,-0.23686923,-0.58489317,-0.731955,-0.25208962,0.1048111,-0.19116996,0.44453102,-0.15417401,-0.7470039,-0.13710812,1.0058339,-0.7593401,0.35277095,-0.6914712,-0.2640087,-0.5157125,-0.10971846
Zfp664,-1.2233181,-1.1615815,-0.024707109,-0.43801522,-2.3802872,-0.9150051,0.40389502,-0.18998179,-1.9610164,-0.3674234,-0.29146457,-0.66843957,-0.37332296,-0.17431076,-1.077587,-0.030999452,-0.2998328,-0.36533013
Vangl1,-0.018021375,0.08843747,-2.343059,-2.4251509,0.3790924,-2.176272,-0.12200642,-1.18466,0.4644876,-1.3364335,-1.5635769,0.80654716,-0.4749945,-0.54571766,0.73879504,-0.36714327,-0.3722803,-0.17152324
A630095N17Rik,-0.07063541,-0.368481,-0.6458106,0.1988248,0.8818828,-0.5106795,-0.56234473,-0.721315,0.2601784,-0.2649098,-0.2873773,-0.13377537,-0.36862987,0.09327522,0.7667571,-0.34951824,-0.91311634,-0.19112107
Mtus2,-0.89814866,-0.68101394,-0.48351473,0.089954585,-0.9111688,-0.3039572,-0.45716453,-0.521826,-0.4244894,0.08724919,0.074798554,-0.4482385,-0.9906337,0.25498474,-0.4667772,0.3030535,-0.015354112,-0.19945982
Ypel2,-0.4759502,-0.6186973,-0.8410897,-1.3198233,-0.4310098,-2.251092,-0.78966546,-1.3782566,-1.0998337,-0.1487926,-1.9753389,0.12118161,0.030534029,-0.6190385,0.032137156,1.0308979,-1.2463989,-0.5118749
Gapdhs,-0.261642,-0.76209944,-0.4541334,-0.0060727,0.12080026,-0.06310369,-0.40875584,0.09282273,0.002288714,-0.34744862,-0.08228221,-0.44576663,0.036988765,0.17714578,0.21899772,-0.14902472,-0.07916402,-0.09340874
Myod1,-0.41874856,-1.4095784,-0.25819248,0.15128128,-0.62108856,0.06352935,-0.8960819,0.18524747,0.25327718,0.119493246,0.17854884,-0.61080796,-0.640587,0.33214474,-0.061295655,0.03148312,-0.060637604,-0.0330635
