Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard 1,jaccard 2,moranI
Mouse_Embryo,COSMOS,0.185144049,0.922383645,0.385062001,0.374387318,0.389466994,0.385062001,0.440251002,0.115767026,0.044557986,0.855392594
Mouse_Embryo,COSMOS,0.173800999,0.896222647,0.375360864,0.364476792,0.378420782,0.375360864,0.427273825,0.115510055,0.044787151,0.848976211
Mouse_Embryo,COSMOS,0.193966138,0.939925885,0.388969962,0.378472224,0.396874024,0.388969962,0.447863032,0.115676115,0.044514115,0.850133125
Mouse_Embryo,COSMOS,0.185760119,0.922617525,0.384653125,0.373987314,0.389565748,0.384653125,0.440206159,0.115761145,0.044556389,0.854792115
Mouse_Embryo,COSMOS,0.193542128,0.950934104,0.393603194,0.383180483,0.401522132,0.393603194,0.452730872,0.115739156,0.044528442,0.854868315
Mouse_Embryo,COSMOS,0.178049503,0.899676339,0.375863478,0.365021459,0.379879068,0.375863478,0.429058888,0.115576195,0.044729285,0.844523786
Mouse_Embryo,COSMOS,0.171353779,0.897793056,0.377977911,0.367071313,0.379083871,0.377977911,0.428542973,0.115674593,0.044554386,0.838349319
Mouse_Embryo,COSMOS,0.189289207,0.92436218,0.393535467,0.382767663,0.39030241,0.393535467,0.445632066,0.115316715,0.044806756,0.855253441
Mouse_Embryo,COSMOS,0.196290735,0.93693504,0.391997504,0.381416618,0.395611171,0.391997504,0.449041429,0.11536105,0.044746537,0.854765475
Mouse_Embryo,COSMOS,0.193472841,0.950881712,0.39359831,0.383174996,0.401500009,0.39359831,0.452704363,0.115739609,0.044523728,0.855078661
