Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard 1,jaccard 2,moran I
Mouse_Embryo,CellCharter,0.179194927,0.867551951,0.37809488,0.3667784,0.366314876,0.37809488,0.422671653,0.121272624,0.034596508,0.531973593
Mouse_Embryo,CellCharter,0.181870722,0.903873841,0.367674842,0.357016609,0.38165142,0.367674842,0.426627046,0.116316917,0.034369328,0.531913124
Mouse_Embryo,CellCharter,0.173163199,0.895985947,0.373266843,0.362408977,0.378320838,0.373266843,0.426068774,0.120973306,0.035043086,0.625579593
Mouse_Embryo,CellCharter,0.189106883,0.866615085,0.360300451,0.349240625,0.365919294,0.360300451,0.415247132,0.113730131,0.035358094,0.513516275
Mouse_Embryo,CellCharter,0.180542007,0.896135222,0.375957734,0.365070987,0.378383868,0.375957734,0.428674592,0.119902234,0.035141979,0.591170976
Mouse_Embryo,CellCharter,0.161724648,0.819348158,0.347630742,0.336082415,0.345961321,0.347630742,0.393063004,0.119035658,0.035514005,0.610041724
Mouse_Embryo,CellCharter,0.187141178,0.863929559,0.366936096,0.355757221,0.364785358,0.366936096,0.417580918,0.116285283,0.035253159,0.52952574
Mouse_Embryo,CellCharter,0.186320567,0.946045565,0.393605447,0.383119309,0.399457996,0.393605447,0.450359055,0.116675324,0.03470911,0.607101556
Mouse_Embryo,CellCharter,0.171007019,0.87219816,0.360981795,0.349994488,0.36827669,0.360981795,0.413906658,0.120610009,0.034695904,0.62348173
Mouse_Embryo,CellCharter,0.17582878,0.882975027,0.376347769,0.365253479,0.372827111,0.376347769,0.424929989,0.114160357,0.034058757,0.591001947
