Dataset,method,ARI,MI,NMI,AMI,HOM,VME,jaccard 1,jaccard 2
Mouse_Embryo,MISO,0.110633385,0.473371882,0.242862922,0.230969063,0.199876402,0.242862922,0.218178522,0.040801115
Mouse_Embryo,MISO,0.081890847,0.360578307,0.205001252,0.194051551,0.152250476,0.205001252,0.2156067,0.041071907
Mouse_Embryo,MISO,0.091732261,0.409121796,0.217718552,0.20666685,0.172747465,0.217718552,0.21915466,0.040933236
Mouse_Embryo,MISO,0.094684583,0.387764121,0.208713275,0.197529676,0.163729406,0.208713275,0.219890963,0.041084194
Mouse_Embryo,MISO,0.092257049,0.380581916,0.210504063,0.199148066,0.160696794,0.210504063,0.222245002,0.040870122
Mouse_Embryo,MISO,0.085557284,0.360074372,0.204447317,0.192527889,0.152037695,0.204447317,0.220633823,0.040730474
Mouse_Embryo,MISO,0.088636331,0.367300593,0.204779588,0.193986146,0.155088892,0.204779588,0.222458954,0.040528006
Mouse_Embryo,MISO,0.092877005,0.408829473,0.219661775,0.208473869,0.172624035,0.219661775,0.220973459,0.040664125
Mouse_Embryo,MISO,0.094136377,0.398642221,0.213365634,0.202138239,0.168322572,0.213365634,0.219063825,0.041059022
Mouse_Embryo,MISO,0.090876399,0.409107339,0.224259956,0.212021803,0.17274136,0.224259956,0.217865495,0.040373962
