Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Jaccard 1,Jaccard 2
Mouse_Embryo,SMOPCA,0.283073684,1.136877184,0.505443663,0.496260498,0.480034682,0.505443663,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.277513194,1.134752983,0.505221315,0.496018918,0.47913776,0.505221315,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.275025091,1.124639383,0.501038771,0.491751057,0.474867396,0.501038771,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.281458158,1.136870296,0.505539477,0.496354663,0.480031774,0.505539477,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.279899786,1.13643679,0.505715462,0.496526781,0.47984873,0.505715462,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.277930952,1.133607527,0.504374146,0.495163381,0.478654103,0.504374146,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.281324274,1.127058981,0.500575262,0.491311183,0.475889047,0.500575262,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.282325072,1.140535284,0.507277509,0.498124609,0.481579277,0.507277509,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.276843621,1.131081654,0.503739656,0.494508055,0.477587579,0.503739656,0.159488174,0.043610739
Mouse_Embryo,SMOPCA,0.277379258,1.128645603,0.501953027,0.492700552,0.476558982,0.501953027,0.159488174,0.043610739
