Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard 1,jaccard 2,moran I
Mouse_Embryo,SpatialGlue,0.272326666,1.193484992,0.537609291,0.528385587,0.505983938,0.537609291,0.595899961,0.203700226,0.059648066,0.71293822
Mouse_Embryo,SpatialGlue,0.36846795,1.29932931,0.560734187,0.552382499,0.550857167,0.560734187,0.648750883,0.193272503,0.071556379,0.636135449
Mouse_Embryo,SpatialGlue,0.344699583,1.280616047,0.557463643,0.54897219,0.542923585,0.557463643,0.638689782,0.192295734,0.070292356,0.704995745
Mouse_Embryo,SpatialGlue,0.390558512,1.335282349,0.582011563,0.573977586,0.566099638,0.582011563,0.671656868,0.193834822,0.068025859,0.696961675
Mouse_Embryo,SpatialGlue,0.38699542,1.322457126,0.57303296,0.564885035,0.56066232,0.57303296,0.66351097,0.197125336,0.06465774,0.700439789
Mouse_Embryo,SpatialGlue,0.362277444,1.238082603,0.544350058,0.535505632,0.524891318,0.544350058,0.624909519,0.193800612,0.06675517,0.675313968
Mouse_Embryo,SpatialGlue,0.393297252,1.366666825,0.591506982,0.58372105,0.579405243,0.591506982,0.684350723,0.193867839,0.069841674,0.696157535
Mouse_Embryo,SpatialGlue,0.39383598,1.333747161,0.568170685,0.560082049,0.565448787,0.568170685,0.664909224,0.194428566,0.06945595,0.682594847
Mouse_Embryo,SpatialGlue,0.386169057,1.351970302,0.591746647,0.583863565,0.573174579,0.591746647,0.679778466,0.195799318,0.065542483,0.691046585
Mouse_Embryo,SpatialGlue,0.347782849,1.253881863,0.551406644,0.542698928,0.531589494,0.551406644,0.629794404,0.191206836,0.068558751,0.733984091
