,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4,Proteomics private topic 4
110_38,0.10670958,0.07327206,0.070506066,0.020178875,0.31870008,0.3281866,0.08244675
48_23,0.062225413,0.06226487,0.080467984,0.018537851,0.31048247,0.40233397,0.063687384
71_20,0.17744716,0.06836332,0.19283754,0.24432544,0.07075285,0.09651545,0.14975835
94_54,0.160778,0.07004002,0.25884077,0.36051047,0.037785962,0.04501052,0.06703425
108_57,0.18839732,0.09855941,0.14005816,0.32251891,0.059315577,0.041796856,0.1493538
94_23,0.09036718,0.5050342,0.061777554,0.20393191,0.03902004,0.04259657,0.05727248
69_34,0.1031608,0.06749279,0.046810947,0.18883823,0.0726997,0.11894313,0.40205437
13_51,0.01610028,0.044987503,0.029667016,0.06249005,0.016446618,0.02185959,0.8084489
104_42,0.1125648,0.14335239,0.14620578,0.36830896,0.051971417,0.061468184,0.11612841
115_65,0.08764972,0.03203975,0.13084795,0.01456295,0.38715324,0.31328854,0.03445796
111_42,0.021798315,0.6759853,0.055766344,0.13826936,0.02596807,0.027805954,0.054406654
63_20,0.08094702,0.2193457,0.080190666,0.17694055,0.100512445,0.12585859,0.216205
9_46,0.037536457,0.05477405,0.034644175,0.0086504845,0.2864203,0.5555367,0.02243784
89_44,0.21687217,0.055090737,0.16233833,0.3841351,0.03987408,0.03834266,0.103346854
99_40,0.05212571,0.31698522,0.113638565,0.2903569,0.050373048,0.054104574,0.12241596
72_27,0.0257636,0.6632658,0.040928055,0.10279915,0.06044584,0.05765956,0.04913799
64_27,0.040263955,0.0723461,0.07091363,0.0114318235,0.27439332,0.47172174,0.058929477
78_46,0.1452468,0.10661034,0.07472085,0.39668602,0.056689493,0.089335285,0.13071111
58_43,0.18781048,0.07520779,0.06667256,0.1174233,0.14698553,0.1257018,0.2801986
66_45,0.23507826,0.06874937,0.2089898,0.14504135,0.15139177,0.08415177,0.106597684
89_14,0.1187439,0.089462504,0.074985616,0.48460263,0.031514943,0.040877257,0.1598131
78_8,0.3595135,0.07160905,0.10726398,0.30588898,0.05103544,0.064225756,0.040463228
78_18,0.08726984,0.37141082,0.19120944,0.1495268,0.050884232,0.051268615,0.098430246
21_59,0.06514072,0.03816086,0.47954282,0.10666198,0.037549604,0.025030285,0.2479137
96_24,0.018748323,0.7707981,0.013555964,0.101126835,0.025279298,0.026139127,0.044352353
63_29,0.070205696,0.064805314,0.064913794,0.023530874,0.37749726,0.34558985,0.0534573
88_9,0.3437563,0.0658218,0.07241986,0.3769143,0.052535377,0.048052903,0.040499423
53_31,0.031664822,0.17423421,0.03256437,0.024527766,0.31250143,0.37716743,0.047339957
88_49,0.1471732,0.04695611,0.1008096,0.38289645,0.035248064,0.036613144,0.2503034
45_38,0.07345992,0.20730403,0.13832667,0.10072982,0.21676761,0.18279442,0.08061755
117_46,0.2060141,0.07078946,0.18193647,0.07708089,0.21144235,0.13671964,0.116017126
29_46,0.024448894,0.6628198,0.0237679,0.02542667,0.12155803,0.11120439,0.030774388
87_26,0.04531353,0.08378075,0.052245617,0.017169895,0.2051624,0.4135868,0.18274106
75_26,0.033988584,0.67365307,0.06632681,0.09872505,0.03426939,0.03560547,0.05743167
55_23,0.03499078,0.064481094,0.043569963,0.008311027,0.27009246,0.5050283,0.07352633
67_32,0.024121448,0.029197862,0.019200066,0.05668916,0.020972587,0.027429746,0.8223892
78_12,0.089572236,0.08228895,0.109550536,0.036450855,0.30896074,0.3154163,0.057760388
115_52,0.08825187,0.06799838,0.08600208,0.020543044,0.31904945,0.34348395,0.07467126
94_31,0.21055324,0.07223694,0.14625788,0.3266994,0.04120329,0.04861508,0.15443413
68_47,0.19528948,0.10030636,0.1678464,0.3441744,0.06976979,0.055289883,0.067323655
26_60,0.094262905,0.03926423,0.47832,0.21121058,0.019818904,0.018250072,0.13887326
109_39,0.07493186,0.3353617,0.07022922,0.06297053,0.18230216,0.19249053,0.08171399
48_25,0.08615658,0.035675354,0.22406203,0.021279689,0.19898167,0.23765157,0.19619305
111_50,0.12947933,0.12170557,0.18124908,0.3780787,0.065679096,0.06269406,0.06111424
43_26,0.117213696,0.041738044,0.081815325,0.016064707,0.30496395,0.35648254,0.08172175
94_52,0.3773479,0.032132097,0.1703646,0.29970422,0.03567997,0.043537293,0.041233923
91_17,0.11603204,0.097199924,0.0901555,0.049690116,0.2574536,0.30031884,0.08914999
112_46,0.040481627,0.41326514,0.04403298,0.041803308,0.24148045,0.18624504,0.032691415
37_55,0.1769335,0.04919803,0.16645014,0.026831906,0.30222866,0.25380823,0.024549525
82_47,0.15038972,0.08669698,0.06863216,0.32645234,0.07346444,0.09668463,0.19767976
83_4,0.3606045,0.061053496,0.2106349,0.16474096,0.119006686,0.053252105,0.030707395
95_18,0.12735684,0.054343447,0.055713248,0.26341864,0.03418078,0.031633243,0.4333538
79_19,0.03375616,0.79900956,0.033147767,0.06335104,0.021668207,0.021982698,0.027084623
103_32,0.056645982,0.16792332,0.0960306,0.22940217,0.051066782,0.059883855,0.33904734
61_41,0.13306764,0.07658111,0.10394228,0.27844918,0.048425864,0.057270776,0.30226308
28_43,0.061346695,0.23564933,0.106593706,0.07578949,0.13229717,0.13125484,0.25706875
65_7,0.28196865,0.10304926,0.115384996,0.26265857,0.124920316,0.07609825,0.035919987
63_26,0.043799832,0.083288655,0.073653586,0.017567001,0.2826936,0.35819417,0.14080317
118_46,0.19432735,0.07453912,0.12529753,0.36826584,0.06101356,0.05628741,0.12026927
46_33,0.06467432,0.056600578,0.06351499,0.014259674,0.3105365,0.4214807,0.06893322
76_46,0.06761582,0.16818,0.15605007,0.3419355,0.036321796,0.04366376,0.18623313
78_36,0.07733324,0.077642776,0.06473396,0.18443719,0.04446793,0.07833845,0.47304642
30_39,0.15310599,0.07719924,0.07016431,0.06695692,0.30797905,0.26631513,0.0582793
88_37,0.079645276,0.21131006,0.0724747,0.52958673,0.035788815,0.045131404,0.026062965
82_56,0.1588578,0.09347764,0.1711948,0.26780015,0.12557833,0.064403206,0.118688114
79_25,0.08373547,0.05329235,0.05893167,0.018992404,0.28080708,0.44459102,0.059650104
42_26,0.09624166,0.0426524,0.08547575,0.016971178,0.3138499,0.3478434,0.09696568
93_28,0.1788472,0.07208624,0.13156834,0.34836963,0.04277877,0.051756643,0.17459318
13_42,0.07990994,0.06430529,0.17649132,0.024822831,0.3623874,0.2653336,0.026749672
42_39,0.04412148,0.10900014,0.09061086,0.01577104,0.2978756,0.41313264,0.029488154
101_40,0.020687023,0.73658746,0.08941687,0.08745941,0.01395151,0.015372615,0.03652505
26_59,0.17849852,0.05926263,0.14697357,0.059440482,0.30519024,0.17212303,0.07851162
42_54,0.08610571,0.05626661,0.1803444,0.020299474,0.35401288,0.2626525,0.040318467
29_58,0.2664387,0.06454806,0.11993785,0.13725305,0.19554384,0.115332425,0.10094614
107_34,0.13289441,0.0486561,0.08195166,0.023275407,0.3370322,0.28482157,0.091368526
63_41,0.060029745,0.12931465,0.05205944,0.18819557,0.031794164,0.032880682,0.50572574
91_9,0.1650628,0.07989176,0.33348155,0.3407467,0.037477557,0.032611523,0.010728138
90_10,0.26474977,0.08891003,0.12631816,0.4067822,0.042236228,0.037811425,0.033192236
107_43,0.06453772,0.34485593,0.11875659,0.30953196,0.05152855,0.05299649,0.057792716
26_34,0.0627284,0.041045155,0.41880494,0.020318743,0.25584382,0.16738822,0.03387076
62_11,0.19696502,0.045417946,0.038815495,0.027904617,0.3487363,0.2956359,0.04652474
59_29,0.041791555,0.07308539,0.061875425,0.010438,0.30986527,0.46522537,0.037718974
100_42,0.11577999,0.09655143,0.11088133,0.43000007,0.03616633,0.04418736,0.16643353
94_41,0.06238118,0.13085878,0.046904206,0.3663203,0.054316897,0.053759724,0.2854589
79_27,0.06620854,0.050594304,0.06996346,0.01829927,0.2980494,0.42381668,0.07306835
95_33,0.054770857,0.14675246,0.07096211,0.05147512,0.19607821,0.22128822,0.258673
81_35,0.13221166,0.08461418,0.16837755,0.44381967,0.04477756,0.06172914,0.06447023
72_9,0.10700367,0.08179158,0.037641603,0.025560929,0.3656206,0.33110988,0.051271774
81_11,0.22336029,0.069262944,0.1430625,0.3451283,0.038826786,0.044101197,0.13625793
22_55,0.091639265,0.04049549,0.106364205,0.0148109235,0.34472007,0.3368714,0.06509863
13_53,0.06698997,0.017476942,0.02667289,0.0839388,0.022676911,0.029247973,0.75299644
88_33,0.19883655,0.047905497,0.045272693,0.19173335,0.05074038,0.04234495,0.42316672
36_24,0.08671501,0.054021817,0.11485854,0.021897119,0.37566525,0.30144665,0.04539559
56_16,0.14937147,0.058809128,0.05837107,0.52219677,0.022999465,0.025464974,0.16278714
97_41,0.16998956,0.06304319,0.100778274,0.38938722,0.035037566,0.048013777,0.19375034
83_36,0.18900912,0.0392143,0.26205894,0.34375203,0.02325637,0.030768368,0.11194088
86_51,0.15555799,0.09435196,0.15994674,0.4491254,0.030299332,0.039492987,0.071225695
39_38,0.17397863,0.09538466,0.12739408,0.1206902,0.22306213,0.20709342,0.05239688
24_56,0.0845477,0.03304789,0.068975054,0.012044698,0.36631057,0.3603562,0.07471789
99_58,0.28088564,0.081224844,0.09673763,0.38777947,0.048031736,0.04689412,0.058446523
48_40,0.033405546,0.24704961,0.049362365,0.030491358,0.23011723,0.2679404,0.14163347
85_18,0.036809966,0.54503727,0.026517851,0.16367003,0.06946859,0.06869036,0.08980598
82_52,0.1881976,0.06409571,0.09845384,0.48289308,0.03723503,0.041607607,0.08751714
75_37,0.03380946,0.3817451,0.06051457,0.032319557,0.18893419,0.23667447,0.06600265
65_29,0.09260086,0.112752624,0.09179628,0.054933272,0.28847754,0.26327202,0.0961674
64_23,0.061857417,0.048024997,0.04190008,0.014041775,0.30200475,0.46989402,0.06227691
93_46,0.044642713,0.028487418,0.040321335,0.21984288,0.010019595,0.013508869,0.64317715
64_18,0.20407444,0.064614944,0.15399471,0.26375094,0.06336029,0.08033345,0.16987124
10_46,0.05303475,0.1375089,0.0986953,0.032993317,0.2586999,0.37465155,0.044416316
85_7,0.25683433,0.12587048,0.10661775,0.2867547,0.11437193,0.08895901,0.020591725
33_25,0.13136615,0.045348763,0.12224066,0.027612807,0.34933096,0.2307099,0.09339081
32_39,0.08725666,0.082385,0.047186323,0.01923993,0.32067758,0.40547866,0.03777586
88_45,0.23630501,0.06746218,0.07728323,0.37834576,0.0641449,0.060805276,0.11565363
78_4,0.26070106,0.12443245,0.09730719,0.33105698,0.07263144,0.04899526,0.06487558
21_44,0.07667594,0.050736796,0.18617417,0.018580973,0.29086456,0.27481416,0.10215342
57_29,0.046074737,0.22679919,0.105150856,0.034515228,0.22238122,0.25558907,0.109489694
84_10,0.22996181,0.06890438,0.090268694,0.3804129,0.057730775,0.07275368,0.09996772
92_33,0.124262005,0.10317042,0.08408505,0.10491175,0.15887952,0.27835765,0.14633365
68_49,0.08531133,0.043615278,0.38853046,0.031083805,0.1869144,0.12460909,0.1399357
83_7,0.27296606,0.07539339,0.13243607,0.33919334,0.056901142,0.056315947,0.06679397
105_49,0.15373999,0.10490672,0.13030575,0.41551688,0.06339069,0.061969236,0.070170686
103_28,0.1702673,0.0924226,0.19941661,0.31778118,0.06533982,0.07029447,0.08447801
97_20,0.14302145,0.13650301,0.11834363,0.3198098,0.07835163,0.08768775,0.11628278
72_32,0.06625665,0.42361107,0.089738496,0.19804837,0.065930836,0.06906353,0.08735105
40_26,0.12153193,0.10629909,0.11182561,0.13299845,0.19771421,0.17443632,0.15519442
91_48,0.25200975,0.06259835,0.085174896,0.4510196,0.03632733,0.039501246,0.07336883
91_50,0.3915668,0.05524187,0.0925947,0.3372431,0.034621306,0.04423779,0.044494424
78_47,0.04010855,0.11439948,0.027072735,0.23632793,0.022116242,0.03499729,0.52497774
39_40,0.10137513,0.109564446,0.08901326,0.17677006,0.091987334,0.121367365,0.30992243
59_44,0.2712557,0.07097261,0.068772085,0.14346787,0.18852812,0.14747365,0.10952999
