,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6
0,-2.715418,-4.7110696,-1.9747525,-3.6418915,-5.8709784,-5.991694,2.4279184,-2.8568838,-2.5416734
1,-2.3873825,-5.219756,-3.608653,-5.8902736,-3.878438,2.5106778,-0.7395848,-0.4105875,-3.9249885
2,-3.040181,-5.5589294,-3.1387825,-4.1092515,-4.4241037,-4.815371,-4.306399,-0.31984738,2.7039175
3,-2.4648838,-1.079947,-0.27486667,-1.3982949,-2.4212751,-3.819624,-5.467871,-0.466287,2.630921
4,-3.0598314,-3.79354,-1.232893,-4.7866244,3.1420476,-0.2952571,-1.0409636,-0.54635096,-3.6002638
5,-4.3656464,1.9893074,-2.4812706,-0.6364924,-6.191312,-3.5010626,-4.311835,-1.0528774,-3.4820218
6,-1.4258945,2.5478811,-2.1186843,-5.598844,-5.2658267,-5.351446,-5.035688,-1.6288987,-3.9670653
7,-5.7355013,2.7689104,-2.4865942,-4.354189,-2.0214915,-2.6054487,-5.119331,-0.6223336,-2.007807
8,-4.1583896,-5.3181667,-0.017049015,-6.515515,-5.1294246,-5.9423957,2.8101282,-0.49921486,-4.8715625
9,-0.724021,-5.087881,-4.1393642,-3.9170191,-3.6961956,2.6022484,-2.5071967,-0.7944934,-3.4346795
10,2.737827,-1.4814994,-2.719427,-0.33226866,-4.6907268,-5.6200895,-4.9851704,-0.7878442,-4.3364487
11,-5.262706,2.8959248,0.12666476,-5.010922,-6.341113,-0.010943055,-0.8230145,-6.1056767,-5.505743
12,-0.8232744,-1.926252,-5.794714,-0.819105,-4.6558833,-5.2619233,-0.30811575,-0.15282258,2.6446278
13,-2.2825155,-1.9654397,2.7328584,-5.723577,-5.28499,-5.19363,-0.6933688,-1.4070065,-4.4035816
14,-1.5151458,-0.67199063,2.754234,-4.893864,-4.9488792,-1.256223,-3.002797,-0.5733877,-2.8723874
15,-3.3165138,-1.8621893,-1.2324927,-2.3608842,2.789431,-2.1065502,-6.4196835,-0.5773248,-4.16766
16,-4.287956,2.8051388,-0.53499746,-5.4169536,-5.9846573,-4.7327614,-1.9861972,-0.8683341,-0.8437961
17,-5.790052,-1.549639,-5.1119094,-2.7208679,-4.6224365,-1.8154322,-0.4584103,-0.23618773,2.7967038
18,-2.7749586,-0.3480419,-1.7584857,-5.41314,-5.1739864,2.7963321,-4.7596145,-0.9798632,-5.333157
19,-1.5681133,-1.045188,-2.011671,2.736428,-1.0585186,-2.0409827,-0.2680003,-2.019216,-4.7053747
20,-3.4986205,-2.276259,-1.0644665,2.9837024,-4.1306095,-1.0856463,-0.7025581,-1.4446125,-4.638438
21,-2.2149632,-1.4743203,-5.6011214,-3.2603,2.7256286,-1.3772832,-1.0291924,-0.2905392,-3.1551776
22,2.962135,-2.4899604,-4.0720496,-0.9480634,-6.2086744,-6.438358,0.2523085,-0.4905691,-4.284253
23,-1.8019805,-1.4267073,0.15670598,-4.8628817,-5.021737,-6.1626816,2.6686983,-0.31852698,-2.7657442
24,2.8286889,-4.7615952,-1.4996605,-4.815249,-5.9985275,-4.087858,-2.4293115,-0.42643023,-3.5192318
25,-5.1193814,-4.544458,-4.138328,-3.0234241,3.0371623,-3.0195854,-4.8873615,-1.0322489,-4.536401
26,-4.7900257,-5.411086,2.927002,-4.471423,-5.174408,-1.0697336,-0.7419701,-0.5700773,-4.326597
27,-0.7399548,-1.6007282,-5.209498,-6.1024675,-5.659942,2.901838,-5.7409024,-0.835822,-2.9310455
28,-4.4253187,-2.1819854,-2.0254598,-4.489006,-5.3031306,3.0059657,-2.6812584,-0.56745493,-3.978773
29,2.9276183,-0.21115029,-0.50607204,-5.766511,-5.814963,-2.0398927,-5.0500717,-0.9006977,-4.0174026
30,-2.9223402,-2.868634,-3.1197493,-4.3532314,-5.7790956,2.707588,-2.3860958,-5.3416915,-4.9430346
31,2.7969313,-4.681379,-4.04434,-1.8537681,-5.670666,-3.7470644,-2.9874182,-0.5205644,-1.8869439
32,-2.335002,-1.3047663,-5.9383726,2.7004118,-6.336892,-3.7897716,-0.17257282,-0.51383793,-4.5839415
33,2.7559953,-4.687098,-1.1161816,-5.355413,-6.6987534,-2.8337398,-5.723928,-1.0187559,-4.5520315
34,-0.6483898,-3.5269036,2.942061,-1.4913901,-3.6542823,-0.09787017,-2.3429294,-0.439544,-1.9208463
35,-1.2002225,-0.4593938,-1.8185389,-5.6574283,-5.6051784,-4.722999,-3.457666,-0.2515304,2.7878094
36,-1.8745219,2.6238623,-0.6761274,-4.474419,-6.5270376,-4.5760365,-5.4330063,-0.75657886,-3.2248294
37,-2.529356,-4.739564,0.3036778,-5.3686805,-6.1004825,2.7268693,-1.7268773,-0.7241174,-3.7099175
38,-1.5353179,-3.0108893,-2.6603796,-5.7864175,-6.0576406,-0.8109592,2.8368146,-0.44176394,-0.92891824
39,-5.3014255,2.6207268,-3.4813213,-4.9467044,-6.1709185,-4.039474,-1.8434,-0.682359,-3.1713512
40,-1.2012758,0.028813243,2.7698536,-0.3249964,-0.7932183,-5.310107,-5.292962,-0.6461898,-4.9543176
41,-5.147794,-3.655905,2.8182468,-2.2756004,-5.1261473,-4.8098664,-2.0515292,-1.1455737,-4.5928016
42,-4.018157,-2.887886,2.901679,-2.9988992,-6.1839576,-3.0289803,-0.30336648,-0.40696064,-2.051058
43,-5.0096593,-5.9551096,-2.2035003,-5.283549,-4.8994946,-1.4682381,-2.402339,-0.5122929,2.9395068
44,3.1816113,-1.0291027,-0.38509655,-5.886617,-5.533358,-4.6257114,-1.0536532,-0.64855075,-2.5517516
45,-1.375418,-1.9217659,-3.749735,-4.199053,-1.325913,-1.3374696,-0.20527914,-0.37125665,2.6084316
46,-0.8557663,-4.646682,-3.7723393,-2.8735685,-5.9262013,-5.7580256,-0.68805337,-0.30429024,2.7498806
47,-4.008832,-1.5686841,-4.9114766,-0.96205705,-5.920226,-4.778771,-5.818549,-0.5567273,2.7533443
48,-1.6156156,-0.93551195,-1.8665087,-0.78125286,-4.4391055,2.6112392,-4.8872786,-1.0142405,-3.7434392
49,-5.3375196,-3.5639024,-4.744339,-5.2684736,2.8498123,-1.6118096,-2.3176765,-2.0370383,-3.844733
50,-0.43584156,-0.7947266,-0.99996597,2.6534908,-6.2613506,-3.4658208,-1.5498282,-0.3828263,-4.2959495
51,-0.2806278,-0.9977627,-4.579344,-5.019122,0.09616113,-3.0311482,-1.9921391,-0.52771974,2.653917
52,-1.9416705,-4.6622014,0.31361365,-3.2301621,-6.19609,2.9968848,-4.617024,-3.7410502,-4.150392
53,-6.2832675,-4.428222,2.7308621,-4.678343,-5.001051,-0.73759663,-1.9348818,-2.4688437,-3.721584
54,-3.987785,2.2834754,-1.4306521,-5.8469014,-5.564261,-4.134444,-3.4847436,-2.7674134,-5.05179
55,-1.9804556,-2.9165618,-1.6390885,2.7231305,-2.4996407,-5.3587356,-1.2746661,-0.19701034,-3.9904442
56,-0.45140913,-1.6691196,-1.7525239,2.5094905,-5.90203,-5.2225256,-3.3488922,-0.3535193,-4.279065
57,2.836962,-3.212356,-2.9693956,-5.6365294,-5.1569796,-5.2134585,-0.050665796,-0.7482135,-4.740049
58,-0.31223056,-1.7095791,-0.99194515,3.0197003,-0.2623428,-4.1543007,-0.3034556,-5.0308914,-4.390392
59,-3.980982,2.644168,0.24573255,-3.4466002,-6.0665803,-2.9174201,-0.33829755,-0.7932618,-3.8932176
60,-6.0235147,-4.468691,-3.12779,-4.966513,-5.1994557,-3.7210493,-5.554607,-0.24925682,2.9906223
61,-0.5796205,-2.035706,-4.60064,2.943194,-4.872459,-5.4987717,-0.26522744,-0.27208057,-4.990458
62,-4.9250665,-0.48932147,-2.5598326,3.0383794,-5.750793,0.082084596,-3.9169536,-0.9962129,-5.090983
63,-0.7527076,-2.0070984,2.4820044,-5.1158347,-4.163064,-5.869084,-0.9687724,-1.0487348,-4.751145
64,-6.50745,-4.2991195,-6.223734,-5.8546305,2.8395665,-3.5103607,-1.748984,-1.7335986,-4.892114
65,-3.020602,-5.1737704,-0.96619445,2.3333733,-5.361634,-4.984059,-0.9419361,-0.5471194,-4.1992702
66,-4.8827915,0.2951306,2.8051994,-4.2790947,-4.9171133,-0.7214842,-3.429937,-0.8348522,-4.5184436
67,-3.1979148,2.4103966,-4.333944,-5.890398,-5.7319946,-5.3421984,-3.5935326,-0.56929797,-5.25587
68,-0.3726864,0.0789305,-2.215898,2.6538975,-3.013079,-2.1302338,-5.0927815,0.059957445,-4.4554195
69,-6.764174,2.6390877,-3.2545571,-5.5298996,-5.286776,-5.290333,-4.25646,-1.3749981,-5.2678657
70,2.852329,-2.789417,-5.104185,-5.639876,-5.186022,-5.236084,-1.274359,-0.59929967,-2.7598755
71,-1.1486769,-5.1393447,-1.3438897,2.773128,-6.587497,-5.8753414,-6.1230016,-0.36410275,-2.0530524
