,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 2 private topic 5
0,-2.3100624,-5.7658625,-7.0892754,-5.9757586,2.7725945,-1.3986701,-6.301074,-1.7942429
1,-1.2312233,-1.782635,2.4408817,-5.4120293,-6.89052,-1.7622092,-5.6733704,-4.181361
2,-0.4786188,-3.4673223,-5.4092093,-6.3915224,-7.1570616,-0.8507666,2.642004,-0.7403476
3,-5.481687,2.3946362,-6.5210056,-6.333974,-6.9105906,-2.8225415,-6.6890635,-6.4671626
4,-1.2640178,-6.1799316,-5.5129304,-4.9670525,-6.4022665,-5.178254,-6.454514,2.5138192
5,-0.28026515,-1.4154934,-5.5027094,-3.651224,-5.7857237,-3.1797523,2.4834087,-1.5378013
6,-4.6561813,2.4258428,-7.1355677,-6.0394015,-7.0496826,-3.0239394,-6.9450154,-5.9656835
7,-1.544956,-1.9525778,2.3589768,-5.6125,-6.4687767,-0.93772256,-6.593892,-2.7204592
8,-2.478798,2.3691268,-7.2769947,-3.8272817,-6.553348,-1.6683143,-4.821907,-3.4546046
9,-1.7818106,-1.0137068,-5.54131,-6.15321,-6.762223,-0.6351005,2.592598,-3.4343343
10,-5.936463,-1.6398401,-7.2859573,-4.319922,2.701973,-0.7785183,-6.588983,-1.1100718
11,2.8310728,-6.5632463,-6.671931,-5.749736,-6.2164173,-0.92274296,-5.4998503,-4.340675
12,-4.686963,-4.125946,-6.573166,-6.476675,-7.1986613,-0.79712987,-6.120602,2.6800776
13,-3.1310122,-2.8156354,2.377022,-5.7100625,-7.272395,-1.5979456,-6.6054497,-1.9623122
14,-1.8985094,-1.4979787,-6.771448,-5.3658996,-6.952016,-0.2834251,-6.5038705,2.5798256
15,-0.5345009,-2.623447,-7.2678757,-1.7596183,-6.7725835,-0.2942026,2.6141455,-1.9552026
16,-3.0349023,-1.5438561,2.4655263,-3.4896176,-6.440259,-0.9459735,-6.0523167,-3.384976
17,-3.1640756,-1.4036279,-5.9939237,-5.8737874,-6.7497253,3.0325077,-6.729231,-2.0772414
18,-2.645364,-5.863922,2.312925,-5.9041395,-7.711975,-0.6149288,-6.371999,-1.4525522
19,2.9348989,-0.88000447,-5.84953,-3.8656967,-6.7940507,-0.62087065,-5.5736957,-2.8290548
20,-5.1730413,-5.5548925,2.3415434,-3.6259997,-7.1621733,-1.9091887,-6.2906485,-1.8080888
21,-1.15363,-1.3018565,-6.875787,-5.0775084,-6.4435973,-1.5216067,2.6564026,-1.9706059
22,-1.727843,-2.161902,-6.6431026,2.6285517,-6.2941484,-5.1759396,-5.8058567,-1.7018616
23,-5.327257,-1.6949219,-7.0013843,-5.6104727,-6.9790316,-0.97491705,-6.755882,2.5278761
24,-1.5344253,-4.5262074,-6.1323256,-3.7728853,-7.2338877,-1.2169894,-5.7046733,2.6147604
25,-2.352952,-2.749858,-5.9543753,-3.8309624,-6.547453,-1.7179823,2.5303295,-5.174114
26,-1.7926898,-5.389193,-6.3647685,-5.9684,-6.8930387,-0.5283208,2.7451332,-1.0347344
27,-6.0257883,-1.1702849,-5.6897573,-5.6639814,-7.1844015,-1.6650329,2.4912124,-2.389
28,-1.334736,-0.62120336,2.211375,-3.8571174,-6.7201576,-0.42098454,-5.950474,-1.1049004
29,-0.6888262,-6.311455,-6.5752316,-6.6030817,-7.1411552,3.0456583,-6.7173014,-4.7690744
30,-2.3066845,-1.8289019,2.2985227,-6.502885,-6.4008493,-4.488266,-4.255601,-0.9819744
31,2.8281035,-2.58818,-6.2623725,-5.737814,-6.928745,-0.8306111,-6.5888796,-6.3566165
32,-2.8035278,-4.8350334,-6.6268454,-6.984523,2.7833023,-1.5949501,-5.439102,-1.5843031
33,-3.1746626,-4.2476535,-7.2155576,-4.8048916,2.7888057,-3.3858492,-6.471631,-1.7379854
34,-1.624295,-1.8918301,2.438172,-1.8153595,-6.2199965,-2.585845,-2.505924,-1.294786
35,-0.6179284,-3.7531266,-5.679874,-7.244417,-6.8846836,-0.93016714,2.4721599,-1.2116919
36,-0.6211349,-0.98693216,2.452479,-6.0965257,-7.110446,-1.3247569,-6.6716127,-1.2593839
37,-2.9094756,-2.6881728,-6.6342306,2.6552165,-6.7926836,-2.6357791,-6.499668,-4.3043575
38,-1.025141,-2.2855442,2.4015298,-4.086417,-6.858801,-0.6783345,-6.65277,-3.764857
39,-1.3877871,2.4728708,-6.6925015,-6.685842,-6.9242544,-1.3109722,-6.769879,-6.076288
40,2.838408,-2.8636363,-6.171442,-3.8596156,-5.2893643,-3.9175751,-6.187679,-1.4207305
41,-1.6350071,-6.2457094,-7.0182085,-6.2430315,-7.095026,2.9564002,-3.7186441,-1.7891672
42,-6.3288436,2.4837945,-6.8214045,-6.2517543,-6.814051,-2.6926005,-6.2758126,-5.0439396
43,-3.2629104,-2.613866,-5.96274,2.7230425,-6.769021,-1.0055785,-3.8261032,-1.6398355
44,-0.71373826,-2.644389,-6.20258,2.7886167,-6.639449,-0.89014745,-6.343429,-5.4623475
45,2.964333,-3.704935,-5.895695,-6.8765516,-6.1539965,-0.8682198,-5.6063156,-1.4166036
46,-3.014067,-3.2461684,-6.7453976,-6.5421066,2.7532594,-1.5400401,-6.8035383,-1.9347435
47,-1.4460857,-6.004947,-7.60473,-1.415019,-7.2914877,3.002973,-4.265979,-1.9872794
48,-3.784197,-5.5553265,-6.6655364,-5.9052505,-6.6972237,2.9605172,-7.059221,-4.077726
49,-0.77847445,-5.287454,-7.160566,-5.418293,-6.520781,-4.077794,2.5517063,-1.3319662
50,-1.2317765,-3.006054,-6.320629,2.5881252,-7.220644,-1.2560105,-4.9133596,-3.663596
51,-6.3683853,-5.436059,-7.415534,-6.686833,-6.8872843,-1.2723442,-5.569759,2.6104963
52,-5.239953,-4.1796694,-6.087807,-6.230764,-6.540233,-5.547614,-6.2682405,2.6547213
53,-1.2190664,-1.4312811,-6.324312,-6.124408,2.7618892,-2.2442338,-4.0066385,-1.3359039
54,-1.2712538,-2.6532443,-6.6519203,-5.6185827,-7.553382,-2.9420304,-6.2920656,2.6456203
55,-0.68958646,-6.052022,2.5056088,-6.0696893,-6.1769047,-1.1464728,-6.153712,-2.8474338
56,-4.145589,2.3647323,-5.9402156,-4.875962,-6.8901544,-1.8670464,-6.1881833,-5.633033
57,-5.3947506,-2.2608705,-6.0341463,-6.61261,2.8077264,-1.6649897,-4.3670464,-1.4422793
58,-0.53255105,-5.3182807,-6.72618,-2.7271812,-6.3858213,-3.9419384,-6.711418,2.5756652
59,-3.9440455,-3.1722565,-6.855431,-4.8375187,-7.3013864,0.21535462,-6.058019,2.4905937
60,-0.75438726,-3.2928953,2.4276404,-5.3834567,-6.8967924,-1.9641665,-2.3137474,-1.7794868
61,-2.4441552,-1.862486,-6.719268,2.780937,-6.867325,-3.8654997,-6.645852,-1.5898856
