Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 4,Omics 1 private topic 6,Omics 2 private topic 5
-0.09296422,-0.16933253,-0.014960926,0.11022192,-0.1251333,-0.16529678,-0.4199029,-0.29702705,-0.13850954,-0.16678907
-0.4006851,-0.23914297,-0.23276481,0.041445408,-0.37582582,0.1417324,-0.025898969,-0.4435308,-0.13857163,-0.22193857
-0.09209527,-0.055179186,0.03651829,0.16507232,-0.64379895,0.15305476,0.069546536,-0.27541286,-0.22309788,-0.03570904
-0.32161465,-0.14016342,0.7774644,-0.43902397,-0.3690378,-0.14488734,-0.47500646,0.45052603,-0.66746384,-0.10127203
0.23342513,-0.53986984,-0.42034268,-0.05104138,-0.45092902,-0.7037718,-0.51278055,-0.26550117,-0.24493101,-0.2394138
3.160101,-0.054645896,-0.27048823,-0.5055094,-0.31327087,0.014189988,0.46888134,-0.34432453,-0.26241446,-0.28435293
-0.004784733,-0.24556544,-0.039065246,0.6259543,-0.36271635,0.16268192,-0.2302343,-0.22211152,-0.16039209,-0.15426669
-0.55666316,-0.53886914,-0.5777106,-0.1750001,3.055516,-0.1478132,-0.7977185,1.2445388,0.54223484,-0.40973508
-0.4239378,-0.022631153,-0.2745748,-0.26965964,-0.38495737,-0.43606406,-0.31377983,-0.2874263,-0.23394825,-0.08430936
-0.3206785,0.62848604,-0.56518734,3.549426,-0.4519217,-1.0831306,-0.4316466,-0.33621025,-0.20514017,-0.6596185
-0.5909914,-0.19799723,-0.34847462,-0.4036971,-0.31622714,-0.17942274,3.812928,-0.22013274,-0.22339797,-0.19771858
0.34716624,4.0328617,-0.09719451,-0.32552496,-0.3056034,-0.5749612,-0.27127752,-0.3924543,-0.27240354,-0.22136796
2.2335842,-0.31587803,-0.11061177,-0.099902496,-0.2153125,0.5152161,-0.055566996,0.08065036,-0.5759328,-0.11975706
0.34195954,-0.37044135,-0.2046746,-0.26786456,-0.29417694,-0.46471047,3.834144,-0.3834191,-0.26137093,-0.20456699
-0.034962423,-0.064956784,-0.0757467,-0.21395694,-0.3828848,2.4951792,-0.29653698,-0.44477662,-0.19067799,-0.21851458
-0.27284467,-0.30270135,-0.1423792,-0.39250594,-0.24904612,-0.5260689,-0.13957097,4.3636374,2.6686184,-0.21269467
-0.03366013,-0.86864114,-0.3232866,-0.10656113,-0.28496784,-0.12067853,4.0581436,-0.34165964,-0.26469907,-0.34851053
-0.53811115,0.013890177,-0.34891945,-0.6457108,-0.31726545,3.6032448,-0.33706847,-0.4733055,-0.36876726,-0.13366912
-0.41498792,2.2885866,-0.15676308,-0.20715366,-0.23847395,-0.1832088,-0.29483473,-0.2560208,0.094812736,-0.06708086
-0.16010469,-0.40130642,-0.57821125,-0.21079513,-0.25063944,0.22813192,3.7636957,-0.3118734,-0.18341726,-0.41596758
-0.52476627,-0.2223349,-0.48093587,-0.23575981,-0.33706403,-0.66110146,3.8078914,-0.3666295,-0.2510201,-0.16587684
-0.1418055,-0.3302288,-0.14126225,0.23504351,-0.26761332,3.6365948,-0.37400222,-0.37127545,-0.22593896,-0.096949
-0.09208721,-0.22238444,-0.24766323,-0.31510502,-0.45647812,-0.51248884,3.8349128,-0.3144627,-0.17863883,-0.19929785
-0.11595988,-0.12064651,-0.1761672,0.514188,-0.33594865,-0.086690284,-0.23119025,-0.31793058,-0.17288984,-0.13024168
0.4088866,-0.05365122,-0.20412096,-0.30802292,-0.3508836,-0.17754143,-0.25473693,-0.35533985,-0.32104215,-0.22490731
-0.39166632,-0.19776875,-0.3356519,-0.49991184,-0.29348487,-0.50018823,3.6415672,-0.24914327,-0.18279399,-0.18472289
-0.01286611,-0.43151057,-0.15864307,-0.29383856,-0.23098949,2.3763485,-0.30993834,1.3866804,0.29499325,-0.45576403
0.3104486,-0.15433484,0.11320715,-0.22457379,-0.025565341,0.43355298,-0.4310493,0.25685346,-0.59922785,-0.007915549
-0.86089635,0.132478,-0.42968142,-0.43188155,-0.24935861,-0.1787912,-0.37326226,4.6796956,5.331467,-0.28623796
-0.31826568,-0.8027925,-0.098244235,-0.13166112,0.050728723,-0.6346867,-0.17923102,-0.25408465,-0.30040637,4.119273
-0.3893764,-0.27740604,-0.2888682,-0.19463935,-0.288212,-0.14738172,0.12925926,-0.35194647,-0.1944606,-0.2785802
-0.16155922,-0.32601693,-0.055137567,-0.24289353,-0.28202564,0.3386966,-0.12280563,0.46729007,-0.481277,-0.28510508
-0.54620475,-0.3264967,-0.5243195,-0.4816795,-0.040417664,-0.98669666,0.23589605,-0.3641378,-0.25709486,0.10663574
0.16123205,-0.3053326,-0.3013197,2.8965511,-0.3539511,-0.44040316,-0.25990096,-0.32743144,-0.33323777,-0.73176354
-0.34972328,-0.43700984,-0.061110727,-0.38945353,-0.36310557,-0.15571703,-0.2537141,-0.3546016,-0.23515229,-0.3143651
2.5824928,-0.29413885,-0.47671452,0.004685476,-0.45754093,0.18309008,-0.20642926,-0.36978954,-0.3137906,-0.31379375
0.041609734,-0.22316438,-0.049520805,-0.30756348,-0.28318065,-0.058045495,-0.18067649,-0.39761442,-0.25668555,-0.2908696
