,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Omics 2 private topic 4,Omics 2 private topic 8
0,-6.5990953,-7.19777,-6.682918,-5.945185,-6.7369437,2.3998194,-3.6887224
1,-4.8048263,-1.944089,-6.016363,2.2106287,-6.3527775,-1.7014377,-0.52992696
2,-5.0015783,-2.3861208,-5.103137,-6.053357,2.6180615,-1.0414994,-1.8201667
3,2.8112483,-4.8777313,-6.0606365,-6.7216105,-2.0685115,-4.9506884,-5.901792
4,-6.090271,-1.3707504,2.6407118,-6.0056562,-5.105796,-1.9534161,-1.4945365
5,-1.7671438,-2.2418547,-2.4004326,-6.3733892,2.6639545,-0.6999496,-1.9944122
6,2.795749,-5.5788765,-3.7903652,-6.899251,-6.126175,-3.3879664,-0.7124854
7,-1.408003,2.125449,-5.0841455,-6.471218,-6.2361684,-1.2539406,-0.17006671
8,2.8186038,-7.1207256,-6.035396,-7.013624,-2.7480245,-3.068449,-4.410306
9,-1.3201671,-1.7634195,-6.1574774,-6.214203,2.6720407,-3.0460775,-2.9053564
10,-5.6033792,-6.1000977,-6.4980984,-7.7349606,-6.821911,2.4333024,-5.2397623
11,-6.1788588,-1.2382193,-5.173456,-6.6536875,-2.3042262,-1.241947,2.9263606
12,-5.0388694,-5.31377,2.7463193,-6.487196,-2.8752081,-0.8927562,-3.2248094
13,-3.6141815,-1.6272368,-3.5331857,2.1551187,-4.230159,-1.1448452,-2.2122474
14,-1.0514761,-2.358597,2.6509173,-7.8470707,-1.8226372,-0.68384445,-1.9551823
15,-0.5703177,-6.656205,-3.8254704,2.1328144,-3.5396855,-2.7284148,-2.304716
16,-2.952125,-2.3575225,-5.027746,2.1348062,-4.525771,-2.0182776,-0.031018913
17,-2.5439506,-1.4041915,-3.9632926,-7.3424416,-4.4169226,-1.100861,2.9569519
18,-3.3211222,-5.340838,-2.6012087,2.2477307,-6.418903,-1.4582975,-1.2922899
19,-2.878406,-1.4488368,-5.092508,-7.29068,2.5981452,-1.4261168,-2.9777615
20,-2.8150206,2.1996233,-1.7115022,-6.5236044,-2.9774196,-2.6913218,-1.0757889
21,-5.9335675,-2.347259,-4.0727706,2.153724,-5.1637154,-1.5998405,-1.5726113
22,-1.315042,2.2134967,-1.3944204,-6.634388,-2.4386392,-0.61225605,-2.9370618
23,-5.1756635,-2.289475,2.5786998,-6.542233,-6.2837873,-2.9538827,-5.0895133
24,-3.2781646,-5.4823446,2.6664732,-6.660859,-4.225199,-1.0785416,-4.077285
25,-6.3642864,-3.4910088,-6.1438484,-7.2954392,2.690324,-1.4963269,-2.796409
26,-1.0452182,-2.4058266,-3.9990215,2.077746,-5.03356,-1.3251776,-5.099552
27,-1.5808623,-1.4534872,-6.4401927,2.1903183,-5.923767,-1.4490592,-1.4641374
28,-1.3667608,-2.0633483,-4.935302,1.9992123,-3.3766565,-0.9661336,-3.8575745
29,2.8062718,-3.5757031,-6.6323204,-7.109994,-4.876546,-1.9201108,-5.966275
30,-5.0654783,-2.2417905,-2.1995816,2.1099138,-2.313558,-1.7859347,-3.0188024
31,-3.820178,-3.5800188,-6.4829965,-7.1861176,-6.2402864,-1.4358784,2.9290638
32,-4.950721,-3.6158776,-6.422799,-7.784157,-4.920535,2.4417555,-5.232295
33,-3.0165262,-6.409384,-6.9733286,-7.446883,-4.000228,2.4509106,-5.12877
34,-1.0986648,-5.417937,-3.7701983,2.1717587,-5.4075246,-1.6252844,-1.6717641
35,-1.8665546,-4.674571,-6.652569,-6.065164,2.6019921,-1.3511646,-2.5524309
36,-2.9626312,2.202803,-5.5977015,-6.4991684,-5.530591,-1.2600287,-5.132768
37,-3.4194696,2.1764586,-3.3689158,-6.1634927,-1.7700009,-0.79120386,-0.101308405
38,-1.5865399,-3.028133,-6.3583565,2.0952408,-2.8391402,-1.0434902,-3.5366006
39,2.792313,-2.851457,-6.5164704,-7.133073,-5.8085113,-3.6536875,-3.4174318
40,-5.699649,-6.525831,-4.062598,-7.0951576,-2.3029976,-2.5277886,2.8948345
41,-2.832357,-1.8064685,-7.137473,-6.5271673,-2.6925027,-1.5694761,2.8982382
42,-5.228153,-6.9397707,-6.3998413,-6.8768435,-6.4895306,2.4861555,-5.5843906
43,-4.079616,2.1281843,-5.0657363,-5.0944853,-2.1109197,-0.5456455,-2.040368
44,-4.7069826,2.2489483,-5.19155,-7.5085964,-5.5019383,-1.4056909,-3.0491254
45,-3.2320573,-5.098559,-4.2878933,-7.3947806,-6.1244946,-0.8787658,2.8730824
46,-5.762012,-6.550545,-7.07892,-6.982276,-7.4171762,2.458445,-5.5289903
47,2.7138271,-1.997142,-6.8686357,-6.8927383,-4.8823743,-4.082642,-2.5285192
48,-6.149303,-6.740221,-6.408358,-6.3536873,-6.830599,-1.6136572,3.0326583
49,-5.6320233,-4.8444605,-5.0295663,-6.968028,2.6901743,-2.1301315,-4.3554077
50,-1.4299729,2.0863125,-1.7993134,-7.079918,-3.473879,-1.8573048,-4.030731
51,-3.6250489,-1.58139,2.6144435,-5.8173904,-3.890633,-0.95896053,-1.8306557
52,-3.091299,-3.6527832,2.5876656,-5.793291,-2.8328216,-1.542822,-1.4063128
53,-6.2333975,-5.215947,-6.6920795,-7.4248514,-6.1510572,2.4461694,-5.1632347
54,-3.5344975,-6.7275515,2.5946536,-5.0975313,-5.689472,-1.285105,-1.8094542
55,-1.6095128,2.1999059,-3.6777096,-6.314523,-6.617766,-1.991454,-1.9511962
56,2.775095,-4.3648677,-6.0542674,-7.211859,-5.739154,-3.2325356,-4.7874703
57,-6.0873785,-6.3738966,-6.205868,-7.1845846,-4.4575024,2.3881083,-6.835821
58,-1.3200116,-4.4690757,2.5587018,-4.5540113,-1.7202339,-0.9339474,-1.5514014
59,-3.7968493,-1.1062769,2.6650577,-6.613744,-4.688432,-1.0934012,-2.0841892
60,-4.427432,2.1056929,-2.6724746,-7.2979717,-6.263492,-2.9620037,-2.418312
61,-0.8805163,2.0572877,-4.2132883,-6.3160505,-1.5914495,-1.2237017,-6.189381
62,-1.0755278,-3.0655255,2.7059882,-5.184948,-1.7387327,-1.5093318,-4.1687546
63,-3.322532,-4.9648423,-5.9405456,2.1104867,-4.807193,-2.6508417,-4.878454
64,-4.3693786,-4.306934,-6.0602155,2.1006162,-4.612875,-1.5091739,-1.0525668
65,-0.2502211,2.090183,-6.1131573,-5.7067075,-4.3363795,-1.4348602,-1.5647725
66,-1.9634622,2.0250897,-3.8974724,-6.586444,-4.714466,-1.4340167,-0.95633096
67,-2.5255322,-3.4263017,-3.8775506,2.2012708,-3.7394125,-1.1718876,-3.4018507
68,-1.6584727,2.1180587,-4.707575,-4.8040032,-1.0087601,-1.2809123,-2.500351
69,-2.5706105,2.2602212,-4.186876,-5.2828,-0.7981169,-1.6603678,-0.46849582
70,-3.6479778,-4.901623,-6.7125645,-7.611886,-6.079523,2.5070453,-5.7436733
71,2.8162074,-5.2535815,-5.8834743,-7.7979507,-5.6082973,-2.5561223,-4.6439548
72,-6.321354,-2.4838333,-5.1336675,-5.9388585,2.6981938,-2.435554,-1.2998428
73,-0.9039643,-1.3431529,-6.8973536,2.187093,-4.5604706,-0.47176212,-0.5525714
74,-5.994541,-7.2439203,-2.8591619,-6.884118,-6.340871,-1.1586647,2.9084034
75,-6.275879,-6.1389666,-5.9909515,-7.4334517,-6.556509,2.4275951,-5.870755
76,-3.4195404,-6.67176,2.579118,-6.6514554,-3.2272255,-0.6830535,-1.5134797
77,-1.3564804,-1.591121,-3.4758723,2.1658216,-5.5306144,-2.546061,-4.974641
78,-5.1558747,-1.4914331,-6.409573,-6.724894,-4.5068235,-1.188823,2.8595777
79,-4.7583375,-5.012879,-1.855053,2.2027323,-6.7755218,-1.0137067,-3.9697502
80,2.77773,-6.5171924,-4.038455,-5.2757525,-5.8818226,-4.314754,-6.199972
81,-6.5233116,-4.486513,-5.7425957,-7.452362,-6.365425,2.414136,-5.700283
82,-2.5495162,-1.0842935,-5.874638,2.1323671,-2.852705,-0.8741482,-1.530122
83,-6.412527,-4.6994495,-6.5183935,-7.1667004,-7.4038744,2.3339689,-5.822139
84,-3.0958462,2.1463315,-3.101166,-6.942628,-3.2252672,-0.91173095,-0.5864033
85,-5.2558045,-5.91698,-7.0085225,-7.368584,-5.153708,2.4290066,-6.7087812
86,-4.032232,-4.6109853,2.6423373,-6.548731,-1.6542042,-2.575706,-2.0766683
87,-5.079399,-5.3068037,-5.098333,2.1683233,-1.1880728,-2.6507149,-5.3625712
88,-4.560096,-4.7407312,2.5620422,-7.462829,-2.7074494,-0.82411784,-2.328229
89,-1.3160427,-1.3067873,-6.2410407,-7.21181,2.645567,-1.6905637,-4.834932
90,-1.1250772,-2.0499172,-4.015813,2.0996702,-6.5803328,-1.1144952,-2.1729267
91,-4.5706787,-5.7829027,-6.1224537,-6.7966356,-4.4050283,2.4293265,-4.894143
92,-1.075524,-2.130326,2.586582,-6.459092,-3.5525992,-1.3250136,-1.3902894
93,-2.9618998,-1.2747111,-3.821714,-6.990882,2.6603522,-1.6034963,-4.5054064
94,-6.3198137,-1.7139231,-5.9767523,2.1122153,-2.8178806,-1.1546979,-2.3035035
95,-4.1653175,-3.2897348,-5.073248,-7.247501,2.7032743,-2.1912363,-2.3057704
96,-1.9855504,-1.585949,-6.0344405,2.0936916,-1.8935302,-1.6940863,-2.258929
97,-0.90907204,-2.3999958,-6.5469394,-7.2656145,2.631905,-1.3343843,-4.2071953
98,2.8132458,-5.220683,-6.1858025,-6.721654,-5.7809706,-2.5538697,-5.178104
99,-0.99968904,2.0736172,-5.917505,-5.108528,-3.3419783,-0.6798179,-0.8717464
