Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Omics 1 private topic 3,Omics 1 private topic 9,Omics 2 private topic 4,Omics 2 private topic 8
0.32675397,-0.097330846,-0.72516525,-0.08941448,-0.5544872,-0.18322122,-0.14163458,-0.23650804,0.17267427
-0.39851683,-0.28989416,-0.26139143,-0.26917702,-1.0207937,-0.25366125,-0.2823965,-0.067706734,-0.06745933
-0.19541378,-0.46632957,-0.1449317,0.2286889,-0.27255547,0.25009483,-0.1735374,-0.39357543,-0.46978188
1.1159797,0.028125435,-0.05011037,-0.13262585,-0.15388641,0.12885582,-1.1392993,-0.14796978,0.08095194
-0.7322255,0.6235142,-0.383788,-0.008185651,-0.48833916,-0.16565739,-0.1303768,-0.13990277,-0.16993678
-0.18869063,-0.3788737,-0.14045036,-0.020041734,2.6213975,-0.31168878,-0.33349204,-0.56141067,-0.42666695
0.3942876,0.7763865,0.280147,-0.12984067,-0.29050958,-0.18791434,-0.18165526,-0.32309282,0.21381044
-0.87746644,-0.12553783,-0.2879234,0.035074838,-0.67171645,-0.30822685,-0.40744478,2.892648,-0.37394452
-0.31978625,0.09290898,-0.21478708,-0.07543265,-0.107723884,0.18361239,-0.16053131,-0.317438,-0.20429973
-0.18644287,0.061142243,-0.17260365,-0.06009206,0.22620727,-1.1258796,3.2647717,-0.38729513,-0.001291272
-0.27859497,-0.38750732,-0.37294358,-0.23762402,-0.10497107,3.7539713,-0.6482422,-0.38387033,-0.49170732
2.117942,-0.15884218,-0.28350425,-0.42080975,-0.2334708,-0.24267097,-0.30073652,-0.49608928,-0.001375012
0.29877645,0.193555,-0.36504364,-0.11145977,3.0616255,-0.5034498,-0.21461211,-0.5542699,-0.493335
-0.41226095,-0.1480418,-0.17553224,-0.2314771,-0.27045158,3.755261,-0.6483599,-0.40489075,-0.31647483
-0.6270917,-0.23207141,-0.25976738,-0.3399438,-0.62543947,0.19504505,-0.38692647,-0.43393058,4.1270294
-0.4406526,-0.106831685,-0.16717573,-0.43032762,0.09307669,0.5343194,-0.034697205,-0.362198,-0.5787066
-0.34509277,0.102876276,-0.32701594,-0.35501388,-0.19386354,3.8152862,-0.6477252,-0.36846626,-0.026509654
-0.052701585,-0.13286456,-0.12986778,-0.07427417,-0.42357412,-0.27030545,-0.40879115,-0.35962123,3.8810673
3.5622578,-0.40629667,-0.6538862,-0.2675819,-0.36550945,-0.3945232,-0.1200703,-0.27807486,-0.19420443
-0.2986822,-0.009125382,-0.4437674,-0.24211642,0.35379732,3.7993636,-0.6418347,-0.27246952,-0.027327966
-0.12391949,-0.040037185,-0.24491093,-0.19367425,-0.010585673,3.709762,-0.6390296,-0.475457,-0.1906285
-0.038772248,-0.12241439,-0.10310371,-0.2342905,-0.1398079,-0.20701252,-0.21827802,-0.3015162,4.0719724
-0.67661965,-0.45516726,-0.16006969,-0.36395097,0.007984653,2.9083972,-0.52253187,-0.35502517,0.05888403
-0.1443378,-0.04756058,-0.28002682,0.09530858,-0.12383294,-0.18692753,-0.18131089,-0.28095293,-0.079651155
-0.31760234,-0.15138462,0.020203266,-0.3188021,-0.14523754,-0.20671432,0.20085293,-0.30115035,-0.097581625
-1.0720162,-1.452291,-0.857659,-0.91848874,-0.6914341,3.8228881,-0.6437981,-0.340555,0.062577404
-0.3367434,0.025872275,-0.30664316,-0.1686346,0.17584804,-1.7685034,-0.048189193,-0.2557732,3.9860466
-1.0187206,0.26575375,-0.38397586,0.12863627,0.06435008,0.23507579,-0.9756932,-0.039340418,-0.029747011
-0.06988552,4.579376,0.07662204,-0.34746403,-0.1734354,0.13435584,-0.35610205,-0.45760998,-0.2504684
-0.078593396,-0.5460628,3.3995593,-0.40354186,-0.38017267,-0.18806545,-0.22711462,-0.5007035,-0.47935194
-0.107326895,-0.0725671,0.23304313,-0.35421216,-0.11412421,0.15808171,-0.133998,-0.15401976,-0.060712814
-0.39129832,-0.20406124,0.11154959,0.67591435,-0.1427485,0.051689897,-1.0359142,0.1824323,-0.4344989
-0.30492932,0.36374256,-0.103701375,-0.21192008,-0.7370411,-0.31131524,-0.28509158,-0.0150226,-0.09878766
-0.07903829,0.5553909,0.000883132,-0.26508436,-0.059979245,-1.4203812,3.778661,-0.23377344,-0.17982648
0.0369562,-0.5673878,-0.1880899,-0.29012424,-0.35282332,-0.05677362,-0.1601286,-0.32938033,-0.24650551
-0.2600714,-0.2770683,-0.33135015,-0.20607343,2.0621014,0.26972163,-0.20834413,-0.59128004,-0.7138499
-0.22700939,0.046046544,0.13528927,-0.072603814,0.14910185,-0.2798022,-0.38256937,-0.3431204,-0.013578644
3.8905683,0.30942255,-0.53978455,-0.16432865,-0.24545309,-0.17531282,-0.115698785,-0.370606,-0.09584024
-0.051469006,0.10372365,-0.40945968,0.13511382,-0.021025518,0.285102,-0.106419735,-0.3386689,-0.4398484
-0.21676058,0.03573696,-0.16399804,-0.17304498,-0.24484651,-0.31986108,-0.383316,-0.28231743,-0.3019955
-0.21526971,-0.12419213,-0.2847571,-0.2319731,-0.03885272,-0.11693397,-0.21935585,-0.35884893,-0.64829355
-0.51614845,-0.035485923,-0.21191967,-0.20788604,-0.07221116,-1.1941694,3.5185645,-0.4999691,-0.2773494
-0.35654226,-0.20256165,-0.11064279,-0.2726562,-0.19136803,-1.111103,3.57548,-0.31072697,-0.015318927
-0.026357472,0.26516896,0.3076921,-0.17603363,-0.32533872,0.19091499,-0.24100378,0.6223006,-0.14075284
2.2906272,0.003825843,-0.5732224,-0.19145343,-0.36123335,0.76894826,-1.5001256,-0.42554027,-0.04236869
-0.22527224,0.25404084,-0.5404694,-0.22623979,-0.43758526,0.09050759,-0.15722845,-0.3734158,-0.18398291
-0.14683853,0.45266193,4.1393223,-0.29270416,1.0730886,-0.24370304,-0.18985377,-0.49203625,-0.6980417
-0.2859622,0.098754816,-0.04181309,-0.27346465,-0.21617743,-0.15453658,-0.27627066,-0.4606415,-0.55412143
-0.3195422,-0.9526278,-0.24108987,0.021652758,-0.05116018,0.04844922,-0.19349277,3.1522179,-0.68115634
-0.84810066,-0.29354757,-0.0666533,-0.120096885,-0.2853273,0.19924054,-0.17150179,1.3595362,-0.68493795
0.012961354,0.045294628,-0.54563755,-0.09159531,3.723878,-0.15398735,-0.28631443,-0.3825108,-0.35990897
0.085662454,-0.005596578,-0.7824153,-0.26486903,-0.083277,3.1529927,-0.68932205,-0.21695706,0.34943205
-0.40147603,-0.382534,-0.40623328,-0.2646746,-0.27466357,3.1466224,-0.6113356,-0.3324045,-0.4189848
-0.33796287,-0.6797981,-0.64875937,3.7548099,-0.08506042,-0.22622335,-0.14721158,-0.51305234,-0.18924467
-0.03066969,0.14516617,-0.5651216,-0.23765938,-0.4356584,-0.05958431,-0.13744888,-0.6109227,-1.0250303
0.18959391,0.05482967,-0.24574557,-0.29861647,0.5124863,0.33372822,-0.15832247,-0.4216056,-0.40678874
-0.1293446,-0.19471031,-0.2661073,-0.1527256,-0.02837937,0.39210334,-0.35973537,-0.32220462,-0.20006426
-0.07816745,-0.67023015,-0.39482957,-0.17991388,-0.3321366,-1.3760252,3.6859882,-0.49456668,-0.24353372
-0.567309,0.17463394,-0.07393181,-0.19629703,2.7619534,-0.5035392,-0.21455005,-0.5731584,-0.55771804
-0.24164298,-0.37072214,-0.19024521,-0.31232208,0.255699,-0.32085377,-0.27877694,-0.17282979,0.19692639
-0.3156773,-0.14003031,-0.31773672,-0.28045166,0.41945416,-0.002218279,-0.42660454,-0.24432284,-0.21162012
