,Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10
0,-5.1692667,-3.923842,-3.7104776,-3.7684395,-4.1653066,2.4587693
1,-5.0119605,1.9771446,-2.5022488,-3.5999565,-3.7145038,-3.341327
2,-4.6683435,-1.7595336,-1.6664716,-3.8505797,2.3047028,-4.17272
3,-5.2140727,-2.9847035,-1.1760752,-3.7231855,2.629808,-4.322917
4,-4.5470214,-3.267816,1.9821771,-3.3034675,-4.1057897,-4.247367
5,-4.8619423,2.232473,-2.5724783,-3.183192,-1.6921802,-4.62088
6,-4.150257,2.189496,-2.058217,-3.6464777,-4.2020235,-4.6907883
7,-4.1276903,1.8426492,-3.6612062,-4.6170797,-4.229619,-4.308565
8,-4.6600714,-3.0180871,-2.428687,-2.5741596,-3.827929,2.696295
9,2.2608993,-2.053175,-2.783936,-3.5579972,-2.7268274,-4.194392
10,2.4288578,-1.5781555,-3.3858886,-3.9212635,-1.9233776,-4.0586023
11,-5.100819,1.8156005,-1.4315183,-4.027386,-3.2887862,-3.7844229
12,-4.664301,-4.035323,-2.1583123,-3.7144225,2.3447576,-4.2451773
13,-3.719085,-2.1754334,-2.907664,2.245709,-3.361964,-3.6938007
14,-3.9814143,-2.5118728,-1.9303132,-4.158884,-3.9081542,2.2002344
15,-5.016183,-4.3233376,1.63236,-4.234174,-3.9469109,-4.813095
16,-5.404165,-2.454955,2.1070328,-3.9741178,-4.3240395,-4.8901463
17,-5.2359653,-1.540348,-2.6068964,-4.0553823,2.5509827,-4.6117373
18,-4.698421,1.9348063,-2.2021668,-3.6588824,-4.4426327,-4.036947
19,-3.6800478,-3.0049882,-2.2217548,-3.3427124,2.0277727,-4.7915244
20,-4.282233,-2.0490525,-2.672967,2.2779777,-4.335826,-4.977075
21,-4.2593966,-2.6683297,2.2315145,-3.9714613,-4.1585937,-5.2265253
