Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10,Omics 2 private topic 2,Omics 2 private topic 4,Omics 2 private topic 5
-0.44608065,-0.28184122,-0.14428128,-0.2974076,-0.28542048,0.5617195,-0.22887388,-0.29071516,-0.21960804
-0.23384595,-0.19882286,-0.059129786,0.027762841,0.013910663,-0.20085055,-0.16976638,-0.23213741,-0.250081
-0.078279585,-0.14048515,0.11164829,-0.26560897,-0.18762372,0.112574145,-0.47918022,-0.5793421,-0.59219944
-0.20489763,-0.17396922,-0.08366756,-0.20721152,-0.28204098,-0.07125418,0.04473561,-0.20098077,-0.01428368
-0.30480745,-0.04400628,-0.18311332,-0.23891667,-0.21968523,-0.055787854,-0.41627952,-0.33501083,-0.3146352
-0.33559483,3.1036267,-0.079226956,-0.0908503,-0.24187475,0.31326202,-0.31536576,-0.49572176,-0.27606884
-0.42606235,0.01805903,0.114867546,-0.15546389,0.012504289,-0.1027264,0.18054113,-0.26620808,-0.061394326
-0.8100854,-0.4864583,-0.3914529,-0.19227844,-0.010070806,-0.2629534,-0.6268492,3.1715841,-0.35299638
-0.29365382,-0.52842927,-0.07661865,-0.14227974,-0.26951066,0.13443166,-0.39721563,-0.16771057,-0.25168374
-0.09153575,-0.03243734,-0.43752658,2.941721,-0.54376495,-2.158612,0.061160922,-0.20484856,-0.22413243
3.7822278,-0.09632362,-0.3098507,-0.21731378,0.108433984,-0.19474542,0.8355779,-0.67788565,-0.5439136
-0.12925659,0.06467664,-0.36190745,-0.18519372,-0.14035115,0.025810273,3.3911085,-0.13780227,-0.19974634
0.028843999,1.992931,-0.27488393,-0.22590402,-0.19274247,0.2785076,-0.37198228,-0.31735116,-0.25346628
3.9127884,-0.4505161,-0.52835065,-0.32152867,-0.2605701,0.09175172,-0.08411069,-0.26165834,-0.12537764
-0.055023003,0.11547881,1.7584774,-0.33058172,-0.40649456,0.43568084,0.02580063,-0.36281192,-0.21299937
-0.34802315,-0.51110506,-0.249919,-0.341833,-0.31138876,0.26375896,-0.55875874,-0.3122048,-0.18260905
3.7656312,-0.2286742,-0.016309604,-0.2595121,-0.29354253,-0.1356513,-0.06123556,-0.54703,-0.2700094
-0.12933506,0.28904575,3.8091445,-0.10571869,0.092183,0.09985117,0.22618957,-0.4680836,-0.30686504
-0.29003474,-0.23074529,-0.2911113,-0.27844483,-0.15745547,0.054688968,3.7672293,-0.3362413,-0.37912834
3.8739297,-0.5602138,-0.30576736,0.46175534,0.53039765,-0.2390237,-0.37596166,-0.5227777,-0.45543048
3.6379929,-0.8298248,-0.604196,-0.25386676,0.08367285,-0.16766942,0.9213003,-0.53758,-0.378748
-0.22752252,-0.88954985,2.3327024,-0.11396943,0.076681,0.05778846,-0.108376384,-0.29538846,-0.35208273
3.7374866,-0.57167846,-0.760037,-0.16950567,0.2939222,-0.2703869,-0.4108284,-0.3774053,-0.19423899
-0.17452711,-0.21153568,-0.14418714,0.0949043,-0.054589607,-0.40019944,-0.24772497,-0.26642874,-0.1969427
-0.0771337,-0.015154541,-0.0971701,-0.2708294,-0.12686792,0.0033552,-0.057759162,-0.28134513,-0.054994702
3.9055786,-0.3897717,-0.28583625,-0.17279534,0.27649218,-0.27073923,-0.4511621,-0.38885975,-0.20291781
-0.27551928,0.24720056,2.4860344,-0.31891525,-0.31135085,0.2336485,-0.022420745,-0.31372663,-0.369992
-0.26551133,-0.08202533,-0.037061125,-0.17714646,-0.20135182,-0.19132407,-0.20922442,-0.18966793,-0.079850905
0.30473498,0.26343626,0.334902,-0.87009335,5.2071424,-2.310803,-0.012050964,-0.1731213,-0.06414257
-0.3507663,-0.6795868,-0.017149061,-0.23583506,-0.16120373,-0.08364792,-0.68761504,-0.6474794,4.005834
0.592718,0.32195917,-0.04565929,-0.27845427,-0.046239138,-0.03528723,-0.16214007,-0.22294414,-0.1929589
-0.16159074,-0.06667787,-0.5481696,-0.23227993,-0.21572497,-0.057544623,0.016051933,-0.27023467,-0.26836538
-0.20335095,0.113609076,0.29400828,-0.13834603,-0.2808295,0.107784234,-0.16887979,-0.36254933,-0.1776285
-0.2896642,0.14036748,-0.1129905,2.6294062,-0.35437587,-0.6735735,-0.34199017,-0.2739448,-0.36093566
-0.12669115,0.22706145,-0.80991364,-0.22386512,-0.052324083,-0.15213022,-0.4307984,-0.063124314,-0.4483304
0.06343125,1.419057,0.12908632,-0.1894864,-0.20394458,0.3263728,-0.31345767,-0.41346854,-0.42641553
-0.20233357,-0.1789749,-0.1268117,-0.13058041,-0.31601045,0.024669804,-0.28919557,-0.5583158,-0.27994448
