Dataset,method,jaccard 1,jaccard 2
ccRCC_Y7_T,CellCharter,0.252321658,0.055120253
ccRCC_Y7_T,CellCharter,0.256784295,0.052917381
ccRCC_Y7_T,CellCharter,0.253164366,0.054680995
ccRCC_Y7_T,CellCharter,0.252283881,0.054584356
ccRCC_Y7_T,CellCharter,0.253145476,0.053298019
ccRCC_Y7_T,CellCharter,0.253463019,0.053808617
ccRCC_Y7_T,CellCharter,0.253320109,0.053211782
ccRCC_Y7_T,CellCharter,0.251885207,0.054447393
ccRCC_Y7_T,CellCharter,0.25207637,0.054670715
ccRCC_Y7_T,CellCharter,0.2547537,0.054585124
