Dataset,method,jaccard 1,jaccard 2
ccRCC_Y7_T,SpaMV,0.394593589,0.320596342
ccRCC_Y7_T,SpaMV (Shared),0.359039104,0.256719317
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.493492274,0.20984841
ccRCC_Y7_T,SpaMV (Metabolomics related),0.26256801,0.403458558
ccRCC_Y7_T,SpaMV,0.397424887,0.318308666
ccRCC_Y7_T,SpaMV (Shared),0.362492947,0.260689154
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.498744749,0.209242781
ccRCC_Y7_T,SpaMV (Metabolomics related),0.264062295,0.402252198
ccRCC_Y7_T,SpaMV,0.398345965,0.317202097
ccRCC_Y7_T,SpaMV (Shared),0.355636952,0.262013554
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.493972895,0.210890049
ccRCC_Y7_T,SpaMV (Metabolomics related),0.261348904,0.404755418
ccRCC_Y7_T,SpaMV,0.399561525,0.314887654
ccRCC_Y7_T,SpaMV (Shared),0.360469815,0.261302858
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.493635468,0.211200067
ccRCC_Y7_T,SpaMV (Metabolomics related),0.266080794,0.400625292
ccRCC_Y7_T,SpaMV,0.399194227,0.315442945
ccRCC_Y7_T,SpaMV (Shared),0.36528767,0.257419961
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.498664693,0.2106722
ccRCC_Y7_T,SpaMV (Metabolomics related),0.267658567,0.397169822
ccRCC_Y7_T,SpaMV,0.398681128,0.315855246
ccRCC_Y7_T,SpaMV (Shared),0.362207198,0.25991116
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.497522407,0.209993988
ccRCC_Y7_T,SpaMV (Metabolomics related),0.263557205,0.400692512
ccRCC_Y7_T,SpaMV,0.40399583,0.3119375
ccRCC_Y7_T,SpaMV (Shared),0.35880778,0.258057031
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.498579643,0.209446225
ccRCC_Y7_T,SpaMV (Metabolomics related),0.263210013,0.399172546
ccRCC_Y7_T,SpaMV,0.397194682,0.318142833
ccRCC_Y7_T,SpaMV (Shared),0.358305761,0.258743931
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.496374889,0.210664137
ccRCC_Y7_T,SpaMV (Metabolomics related),0.262751237,0.401729121
ccRCC_Y7_T,SpaMV,0.396477141,0.318252377
ccRCC_Y7_T,SpaMV (Shared),0.359100856,0.259604728
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.492754115,0.209320287
ccRCC_Y7_T,SpaMV (Metabolomics related),0.261756186,0.403821526
ccRCC_Y7_T,SpaMV,0.396039562,0.320030874
ccRCC_Y7_T,SpaMV (Shared),0.36025858,0.258500751
ccRCC_Y7_T,SpaMV (Transcriptomics related),0.495903067,0.211055967
ccRCC_Y7_T,SpaMV (Metabolomics related),0.262121731,0.402348306
