Dataset,method,jaccard 1,jaccard 2
ccRCC_Y7_T,SpatialGlue,0.336913294,0.289781232
ccRCC_Y7_T,SpatialGlue,0.355295727,0.273017015
ccRCC_Y7_T,SpatialGlue,0.328716347,0.306228269
ccRCC_Y7_T,SpatialGlue,0.381519052,0.264245586
ccRCC_Y7_T,SpatialGlue,0.300801018,0.308427246
ccRCC_Y7_T,SpatialGlue,0.336524257,0.296651253
ccRCC_Y7_T,SpatialGlue,0.34053915,0.273692137
ccRCC_Y7_T,SpatialGlue,0.322195741,0.30130155
ccRCC_Y7_T,SpatialGlue,0.321290268,0.298481529
ccRCC_Y7_T,SpatialGlue,0.380340278,0.272811287
