,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
84.9116512767613,-0.15675476,0.096749276,-0.07650851,0.20895523,0.6437274,-0.686773,-4.686451,-1.2121179,-0.5383769,0.6355101,-2.5537202,-2.448117,-0.051687133,-1.1272805
85.02883948530474,0.4815721,-0.07417384,0.7185551,-1.3283405,0.35390356,-0.07677754,0.4214113,-0.2623822,-3.445383,-0.012799982,0.93915296,-1.9027923,0.32812497,-1.4615324
90.05540668809499,0.011205472,0.08701495,0.0089701,0.2149597,0.2732314,-0.695814,-2.1774068,-0.8336549,-1.0369287,0.027621008,-0.21535845,-0.744207,0.088456996,-0.5836489
95.06068721922534,0.09973316,0.36255115,0.2034629,0.19939628,0.06920295,-0.6207385,-0.3600258,-0.7236825,-5.8108096,-0.006388761,0.56435215,0.1074633,-0.020573564,-2.090016
96.92214801991757,-0.14046043,-0.16334116,-4.2323694,-0.6783803,0.5342257,-5.5689654,-5.2691803,-3.6022305,-0.10578549,-3.3226056,0.2495532,-3.7099583,-2.8609838,-0.23374328
103.84179777843168,-4.429616,1.3909607,-3.9095016,-5.7522874,-4.9331307,-0.4256906,-0.14173687,-1.4839528,-5.781874,-0.12052655,-4.46506,-4.5437264,-5.0743074,-5.272109
104.07103712024237,0.0032434873,0.056702666,-0.026026182,-0.017135538,-0.002322333,-0.037692707,0.9025481,-0.0006052088,-0.14603849,-0.25232813,0.7626906,-3.4327757,-0.068544105,-0.020616079
104.08819755220308,-0.09971761,0.08549206,0.618476,-2.9701335,0.16925739,0.40496278,0.39228854,0.20115846,-1.0995106,0.6296291,0.22728884,-1.7153424,-0.019303635,-0.51604414
104.10721613216346,-0.0014796052,0.035850756,-0.0008690078,-0.06618887,-0.021294229,0.008387364,0.9925413,0.044232156,-0.07831246,-0.22563186,0.776611,-3.3225658,-0.06418412,-0.005037732
104.12642718272976,0.007372018,-0.37313384,0.4919917,-2.6733475,0.013854157,0.4565246,0.6848828,0.0888177,-1.029543,0.736262,-0.29333532,-0.43856794,0.2527928,-1.0876104
104.373910770705,-5.5684943,0.8397951,0.27995133,-3.5764446,-0.31786364,-0.24978393,-5.076629,-0.11922902,-5.9753556,0.5358485,-4.259863,-3.4979937,-5.3306165,-5.5118513
105.10444082149087,-0.021755144,-0.00856334,0.0064333584,-0.14585009,-0.025007961,0.027450923,0.99191964,0.06192565,-0.13680111,-0.1807893,0.74586564,-3.040691,-0.060972564,-0.01571646
105.11075317490925,0.0039015189,0.036601566,0.0045191795,-0.0707652,-0.022624176,0.01952152,1.0064377,0.06145007,-0.08799792,-0.22525594,0.77490544,-3.4760334,-0.06334826,-0.008935807
105.1135117036616,-0.030215254,-0.0010921899,0.024625394,-0.53046006,-0.00690467,0.0670201,0.9049145,0.07528289,-0.45081943,-0.046185933,0.6486025,-2.6263044,-0.033008896,-0.03401143
106.11149143250144,-0.08589294,-0.0051177638,0.10729173,-0.45123234,0.0018478632,0.08798643,0.8620074,0.067016326,-0.18027598,-0.0036690468,0.63005376,-1.7136189,-0.05538908,-0.034858286
