,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5
AGRN,-0.31117094,-0.14422664,-1.0896564,-0.020415217,-0.22628161,-0.5979961,-0.22937447,-0.27870643,-0.05320798,-0.20752127,-0.35223225,-0.091233954,-0.23963313,-0.3884892
VWA1,-0.3049284,0.15714943,-0.46538553,0.0932992,-0.2744692,-0.9417953,0.046848685,-0.3520684,-0.60340637,0.16455665,-0.7723852,0.01684241,-0.19588366,-0.20009613
PARK7,-0.35383198,-0.31785712,-0.20647728,-0.30801082,-0.23113284,-0.1674296,-0.01818347,-0.18800297,-0.14545499,-0.22820379,-0.20640486,-0.26862735,-0.09802566,-0.17578535
RBP7,-0.27680254,-0.4747121,-2.6805167,-0.048814133,-1.2937765,-0.9871271,-0.38537753,-0.6293854,-0.11512044,-0.14447615,-1.2416654,-0.088184,-0.1561281,-1.2671266
KIF1B,-0.37962654,-1.3466027,-1.8448094,-0.08378595,-0.24100572,-1.1766168,-2.9742417,-0.72553855,-1.096038,-0.7220719,-0.649363,-0.12055558,-1.810296,-0.27864146
DHRS3,-0.42077518,-0.27457675,-0.3876904,0.27094662,-0.123464435,-0.596115,-1.3147143,-0.78306496,-0.79244983,-0.17433998,-1.0628759,0.31479752,-0.69232285,0.004918784
NBL1,-0.4356063,-2.3498168,-0.084501624,-0.73647904,-2.1715288,-0.9661182,-0.6550419,-1.3378689,-0.49106538,-0.7849835,-0.1084106,-0.36962116,-2.8287647,-0.12636209
RNF186,-1.2616285,-0.20172375,-0.50405365,-3.0199318,-0.09522888,0.01769191,-0.4221244,-0.6642891,-0.7168346,0.079672635,-0.17062712,-3.0446749,-1.8910592,-1.2788218
PINK1,-0.15336548,-0.6481909,-0.5043022,-0.22369851,-0.5032444,-0.5028635,-0.47852677,-0.43780354,-0.06534073,-0.08872414,-0.37974077,-0.8201541,-0.18863437,-0.5631872
ALPL,-2.3051028,-0.486714,-3.6097527,0.66740805,0.17079306,-2.968697,-4.357609,-4.439058,-1.2683549,-0.15619886,-3.8514364,0.8922832,-3.9058473,-0.7020605
C1QA,0.30227926,-0.124145515,0.66358715,-0.6273306,0.43841016,-0.31424928,-0.15302946,-0.49670163,-0.47697136,-0.48789492,-0.9453736,-0.6155542,-0.31426448,0.60601884
C1QC,0.052199647,-0.2235726,0.6186138,-0.7084025,0.50006765,-0.45912886,-0.24050634,-0.5616439,-0.4628792,-0.712003,-0.8511771,-0.77982545,-0.90743035,0.6295888
C1QB,-0.0063137263,-0.12576613,0.7624125,-0.74254805,0.53666985,-0.25042176,-0.29028547,-0.52070963,-0.44934067,-0.7094492,-0.68938786,-0.83035594,-0.3824522,0.6644522
ID3,0.12321442,0.14562169,-0.35645163,-0.35169527,-0.18807161,-0.29332963,-0.009685665,-0.15378328,-0.25141478,-0.0043217987,-0.30520758,-0.46150512,-0.109775394,-0.23869823
CD52,-0.060233176,-0.86254287,0.73614454,-3.1601427,-0.11734182,-0.434628,-1.0810069,-1.0548375,-3.8836918,-0.8282531,-0.87886965,-3.3139622,-2.4950438,-0.30980667
FCN3,-1.8679552,-0.6655374,-3.1272569,0.45630234,-0.46954718,-4.9031005,-1.4178814,-4.179367,-0.5539747,0.2273364,-4.3010798,0.8505548,-2.5934334,-0.00144279
LAPTM5,0.039062187,-0.21706042,0.56916475,-0.52250755,0.38844138,-0.16990757,-0.21496426,-0.49847808,-0.6854635,-0.93547237,-0.9653431,-0.46742857,-0.28518662,0.4770193
SDC3,0.03479746,-0.7911354,0.4790042,-0.8310363,0.43154967,-0.49766314,-0.4581024,-0.40062165,-0.09291257,-1.2365835,-0.4072576,-0.57116383,-0.95113933,0.3658852
SERINC2,-1.5804108,-0.69084954,-0.8359256,-0.21266307,-0.668296,-0.5273686,-0.05445981,-0.25484636,0.053075045,-0.37319884,-0.08499649,0.03555709,-0.67720985,-2.0132208
MARCKSL1,0.039082617,-0.18833748,-0.60914207,-0.82906896,-0.89558643,-0.39364988,-0.2744641,-0.037904248,-0.79236317,0.0018442571,0.067023724,-1.168428,-0.38362914,-1.0931005
