,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
0,0.026335716,0.030893518,0.021176567,0.32153904,0.015527137,0.06462032,0.014825327,0.13546608,0.08048482,0.036730018,0.04944649,0.045291647,0.038448162,0.029472629,0.015198079,0.016388016,0.021235522,0.020455798,0.016465068
1,0.028440807,0.01953665,0.020533442,0.32376665,0.014582273,0.071631886,0.038482685,0.023895515,0.13473074,0.044924643,0.048825342,0.05018753,0.03898291,0.028535761,0.016440121,0.02018881,0.029957958,0.026230458,0.020125821
2,0.047143586,0.026894327,0.061021432,0.27137128,0.029196864,0.05577689,0.04101698,0.03197184,0.057909686,0.035346933,0.071620695,0.059384268,0.063026495,0.059811335,0.015886353,0.018712567,0.0074534146,0.018049886,0.02840515
3,0.025682729,0.04385023,0.072762094,0.25278234,0.022433462,0.0474869,0.028412987,0.048218988,0.068269484,0.03990102,0.07572335,0.05890082,0.05861027,0.058006745,0.017786596,0.019869663,0.012681665,0.022039795,0.026580978
4,0.034347165,0.015920632,0.025039567,0.2987172,0.028657367,0.05678698,0.02310362,0.05540231,0.10214118,0.041595228,0.06213565,0.055918492,0.050441805,0.041417006,0.018896475,0.018757131,0.01693454,0.027795868,0.025991773
5,0.02689385,0.018272236,0.04599842,0.28462806,0.031774,0.059407752,0.03241091,0.01804672,0.1564825,0.048198666,0.041679654,0.05328157,0.037730273,0.024421295,0.016738826,0.020990388,0.032897316,0.028839493,0.021308003
6,0.024685783,0.029898964,0.024070233,0.34267092,0.016667018,0.038715795,0.028700626,0.06501749,0.06839209,0.049943246,0.03995114,0.05140543,0.034960605,0.02212285,0.02008222,0.022636062,0.07032969,0.029288359,0.020461444
7,0.038633488,0.07740404,0.0116533395,0.21311279,0.028878005,0.02600399,0.031618048,0.054239783,0.08544804,0.053219248,0.033271417,0.05556392,0.031562,0.019395001,0.021024326,0.028639533,0.1312302,0.03696032,0.022142496
8,0.04234877,0.044656124,0.024133002,0.14240396,0.037694965,0.016532352,0.03010303,0.05997536,0.10464118,0.041309923,0.02531635,0.043408774,0.024256926,0.01665509,0.017898582,0.027260711,0.2563741,0.027003938,0.01802694
9,0.031463027,0.031402722,0.080794685,0.30964708,0.03869339,0.06003853,0.058072735,0.02514204,0.014695192,0.061216865,0.06365811,0.048825484,0.051530015,0.05002077,0.013748884,0.016914694,0.005818059,0.014983792,0.023333877
10,0.03387643,0.03511698,0.031931497,0.39645335,0.019887395,0.024927815,0.03187616,0.04718476,0.029157553,0.033564962,0.06382654,0.055321917,0.05630124,0.053224873,0.01744337,0.016786639,0.009550371,0.02199327,0.021574754
11,0.024480356,0.03261848,0.021725107,0.44340494,0.018458346,0.024494935,0.03313204,0.009910737,0.08845486,0.031042159,0.05098439,0.04675647,0.04443042,0.04069174,0.014644169,0.016778314,0.012235499,0.022490142,0.023266967
12,0.020826152,0.060302176,0.015514931,0.33619455,0.025556583,0.03259061,0.048108596,0.06113803,0.069971964,0.044503603,0.04731236,0.055482056,0.040364306,0.0324695,0.018828677,0.019996025,0.022047115,0.026621396,0.02217124
13,0.026229652,0.015075121,0.01032161,0.35162342,0.020809049,0.054511104,0.02831217,0.1157924,0.086185336,0.040261954,0.036079906,0.043932047,0.031456847,0.019759092,0.015552244,0.017340243,0.045337804,0.025939729,0.015480315
14,0.037290376,0.01624909,0.011766829,0.35209507,0.030095829,0.027838571,0.07091013,0.06013437,0.08754542,0.05198779,0.035107423,0.057651557,0.033815086,0.021291178,0.019797094,0.018898066,0.017860128,0.026321247,0.023344774
15,0.026067251,0.056732763,0.021114837,0.23247087,0.019323656,0.020242048,0.03960364,0.04363478,0.15219718,0.049594905,0.030038882,0.05595722,0.03002811,0.02086392,0.021256061,0.029219408,0.0929367,0.034948066,0.023769772
16,0.050339043,0.05577229,0.07031447,0.111969724,0.058503598,0.033945676,0.049192287,0.05985928,0.08851562,0.051543348,0.03225051,0.0578248,0.031191677,0.023967175,0.027291665,0.026893921,0.092943735,0.033949025,0.043732166
17,0.020846656,0.042411376,0.07532958,0.27697518,0.07595098,0.027354026,0.04802262,0.038966376,0.038542826,0.059334457,0.036012195,0.06364164,0.039406613,0.03735412,0.023919918,0.027688755,0.021127822,0.023997229,0.0231177
18,0.03862831,0.04558964,0.056243055,0.098484606,0.06057482,0.06097948,0.059825122,0.03192965,0.05636734,0.067626,0.032959435,0.067987435,0.041193504,0.048086442,0.031755053,0.041291956,0.09763078,0.03638244,0.026464956
19,0.029622624,0.027068697,0.01852028,0.44729432,0.038107354,0.01670701,0.03528652,0.02571278,0.018094523,0.06418458,0.06393638,0.04301122,0.04442639,0.049027093,0.01178445,0.020379148,0.006345637,0.014757405,0.025733652
20,0.017887747,0.020159775,0.02071892,0.46078873,0.031553254,0.020212505,0.04022056,0.034170926,0.02438644,0.047625884,0.062797986,0.045238663,0.04802184,0.047772385,0.012932722,0.016438058,0.008505324,0.017515881,0.023052532
21,0.032527693,0.023627128,0.116498396,0.2673582,0.047067717,0.04453786,0.053787597,0.034931455,0.058236144,0.04532254,0.05267348,0.044710327,0.042346694,0.04312908,0.015571963,0.018999817,0.012360118,0.020986171,0.025327556
